colony_id,x,y,frame,position,replicate,hours,x_um,y_um,x_bin,y_bin
4,341.96666666666664,306.05555555555554,38,pos0,rep1,3.1666666666666665,22.227833333333333,19.89361111111111,"(20.0, 25.0]","(15.0, 20.0]"
10,688.3974358974359,312.85897435897436,41,pos0,rep1,3.4166666666666665,44.74583333333334,20.335833333333333,"(40.0, 45.0]","(20.0, 25.0]"
23,510.5,338.0,46,pos0,rep1,3.833333333333333,33.182500000000005,21.970000000000002,"(30.0, 35.0]","(20.0, 25.0]"
27,260.7761194029851,392.7761194029851,47,pos0,rep1,3.9166666666666665,16.95044776119403,25.530447761194033,"(15.0, 20.0]","(25.0, 30.0]"
40,155.36607142857142,317.91964285714283,52,pos0,rep1,4.333333333333333,10.098794642857142,20.664776785714285,"(10.0, 15.0]","(20.0, 25.0]"
150,107.30434782608695,254.54347826086956,74,pos0,rep1,6.166666666666666,6.974782608695652,16.54532608695652,"(5.0, 10.0]","(15.0, 20.0]"
154,129.90666666666667,240.09333333333333,75,pos0,rep1,6.25,8.443933333333334,15.606066666666667,"(5.0, 10.0]","(15.0, 20.0]"
162,382.3114754098361,530.5737704918033,76,pos0,rep1,6.333333333333333,24.850245901639347,34.48729508196722,"(20.0, 25.0]","(30.0, 35.0]"
308,102.92592592592592,368.1111111111111,107,pos0,rep1,8.916666666666666,6.690185185185185,23.92722222222222,"(5.0, 10.0]","(20.0, 25.0]"
476,725.950495049505,226.6138613861386,136,pos0,rep1,11.333333333333332,47.186782178217825,14.72990099009901,"(45.0, 50.0]","(10.0, 15.0]"
958,349.63917525773195,278.6185567010309,214,pos0,rep1,17.833333333333332,22.726546391752578,18.11020618556701,"(20.0, 25.0]","(15.0, 20.0]"
1016,200.24324324324328,299.5405405405405,27,pos2,rep1,2.25,13.015810810810814,19.470135135135134,"(10.0, 15.0]","(15.0, 20.0]"
1043,203.8135593220339,229.57627118644064,44,pos2,rep1,3.6666666666666665,13.247881355932204,14.922457627118641,"(10.0, 15.0]","(10.0, 15.0]"
1049,165.09677419354838,305.2903225806452,45,pos2,rep1,3.75,10.731290322580646,19.84387096774194,"(10.0, 15.0]","(15.0, 20.0]"
