axis,bin_left,mean_regrowth_fraction,std_regrowth_fraction,n_replicates
x,0.0,0.006773668158631789,0.003511720539339395,3
x,5.0,0.005868965904567953,0.004577436295524088,3
x,10.0,0.0041291538775221175,0.002953652255460989,3
x,15.0,0.004384326308155506,0.002407738932584062,3
x,20.0,0.008026332818104791,0.0069888778243263165,3
x,25.0,0.0038971789405826732,0.0038797418108778288,3
x,30.0,0.003920376434276617,0.00310473993808829,3
x,35.0,0.00403636390274634,0.0025255455605187726,3
x,40.0,0.003920376434276617,0.00310473993808829,3
x,45.0,0.004778683700952563,0.0037252025889064283,3
y,0.0,0.0,0.0,3
y,5.0,0.00020877744324550033,0.00036161313917553427,3
y,10.0,0.008026332818104791,0.006351751662791547,3
y,15.0,0.015287148344309413,0.0103152710229642,3
y,20.0,0.014127273659612189,0.009067609198923332,3
y,25.0,0.008467085198289736,0.0036217075421635693,3
y,30.0,0.0025517243063338927,0.0010044809421542616,3
y,35.0,0.0008351097729820013,0.001446452556702137,3
y,40.0,0.0002319749369394448,0.0004017923768617048,3
y,45.0,0.0,0.0,3
