replicate,axis,bin_left,regrowth_fraction
rep1,x,0.0,0.008142320286574512
rep1,x,5.0,0.007515987956838012
rep1,x,10.0,0.007515987956838012
rep1,x,15.0,0.006889655627101511
rep1,x,20.0,0.008768652616311014
rep1,x,25.0,0.001252664659473002
rep1,x,30.0,0.006889655627101511
rep1,x,35.0,0.006889655627101511
rep1,x,40.0,0.006889655627101511
rep1,x,45.0,0.008768652616311014
rep1,y,0.0,0.0
rep1,y,5.0,0.000626332329736501
rep1,y,10.0,0.011900314264993519
rep1,y,15.0,0.022547963870514033
rep1,y,20.0,0.016284640573149024
rep1,y,25.0,0.012526646594730021
rep1,y,30.0,0.0031316616486825044
rep1,y,35.0,0.002505329318946004
rep1,y,40.0,0.0
rep1,y,45.0,0.0
rep2,x,0.0,0.009394984946047515
rep2,x,5.0,0.009394984946047515
rep2,x,10.0,0.0020877744324550034
rep2,x,15.0,0.004175548864910007
rep2,x,20.0,0.014614421027185022
rep2,x,25.0,0.008351097729820013
rep2,x,30.0,0.004175548864910007
rep2,x,35.0,0.003131661648682505
rep2,x,40.0,0.004175548864910007
rep2,x,45.0,0.004175548864910007
rep2,y,0.0,0.0
rep2,y,5.0,0.0
rep2,y,10.0,0.011482759378502518
rep2,y,15.0,0.01983385710832253
rep2,y,20.0,0.021921631540777534
rep2,y,25.0,0.007307210513592511
rep2,y,30.0,0.003131661648682505
rep2,y,35.0,0.0
rep2,y,40.0,0.0
rep2,y,45.0,0.0
rep3,x,0.0,0.002783699243273338
rep3,x,5.0,0.0006959248108183345
rep3,x,10.0,0.002783699243273338
rep3,x,15.0,0.0020877744324550034
rep3,x,20.0,0.0006959248108183345
rep3,x,25.0,0.0020877744324550034
rep3,x,30.0,0.0006959248108183345
rep3,x,35.0,0.0020877744324550034
rep3,x,40.0,0.0006959248108183345
rep3,x,45.0,0.001391849621636669
rep3,y,0.0,0.0
rep3,y,5.0,0.0
rep3,y,10.0,0.0006959248108183345
rep3,y,15.0,0.0034796240540916714
rep3,y,20.0,0.004175548864910007
rep3,y,25.0,0.005567398486546676
rep3,y,30.0,0.001391849621636669
rep3,y,35.0,0.0
rep3,y,40.0,0.0006959248108183345
rep3,y,45.0,0.0
