replicate,draw,axis,bin_left,regrowth_fraction
rep1,1,x,0.0,0.006289308176100629
rep1,1,x,5.0,0.009433962264150943
rep1,1,x,10.0,0.006918238993710692
rep1,1,x,15.0,0.0037735849056603774
rep1,1,x,20.0,0.005660377358490566
rep1,1,x,25.0,0.010062893081761006
rep1,1,x,30.0,0.005660377358490566
rep1,1,x,35.0,0.00440251572327044
rep1,1,x,40.0,0.008176100628930818
rep1,1,x,45.0,0.009433962264150943
rep1,1,y,0.0,0.013207547169811321
rep1,1,y,5.0,0.005660377358490566
rep1,1,y,10.0,0.00440251572327044
rep1,1,y,15.0,0.006289308176100629
rep1,1,y,20.0,0.006289308176100629
rep1,1,y,25.0,0.005031446540880503
rep1,1,y,30.0,0.006918238993710692
rep1,1,y,35.0,0.006289308176100629
rep1,1,y,40.0,0.011949685534591196
rep1,1,y,45.0,0.0037735849056603774
rep1,2,x,0.0,0.00440251572327044
rep1,2,x,5.0,0.006289308176100629
rep1,2,x,10.0,0.005031446540880503
rep1,2,x,15.0,0.005660377358490566
rep1,2,x,20.0,0.0037735849056603774
rep1,2,x,25.0,0.007547169811320755
rep1,2,x,30.0,0.009433962264150943
rep1,2,x,35.0,0.009433962264150943
rep1,2,x,40.0,0.008176100628930818
rep1,2,x,45.0,0.010062893081761006
rep1,2,y,0.0,0.010062893081761006
rep1,2,y,5.0,0.00440251572327044
rep1,2,y,10.0,0.006289308176100629
rep1,2,y,15.0,0.00880503144654088
rep1,2,y,20.0,0.008176100628930818
rep1,2,y,25.0,0.006289308176100629
rep1,2,y,30.0,0.005031446540880503
rep1,2,y,35.0,0.006918238993710692
rep1,2,y,40.0,0.005660377358490566
rep1,2,y,45.0,0.008176100628930818
rep1,3,x,0.0,0.00440251572327044
rep1,3,x,5.0,0.006289308176100629
rep1,3,x,10.0,0.006289308176100629
rep1,3,x,15.0,0.008176100628930818
rep1,3,x,20.0,0.00440251572327044
rep1,3,x,25.0,0.013207547169811321
rep1,3,x,30.0,0.0037735849056603774
rep1,3,x,35.0,0.00880503144654088
rep1,3,x,40.0,0.007547169811320755
rep1,3,x,45.0,0.006918238993710692
rep1,3,y,0.0,0.008176100628930818
rep1,3,y,5.0,0.006289308176100629
rep1,3,y,10.0,0.00440251572327044
rep1,3,y,15.0,0.008176100628930818
rep1,3,y,20.0,0.008176100628930818
rep1,3,y,25.0,0.009433962264150943
rep1,3,y,30.0,0.005660377358490566
rep1,3,y,35.0,0.005660377358490566
rep1,3,y,40.0,0.006289308176100629
rep1,3,y,45.0,0.007547169811320755
rep2,1,x,0.0,0.006289308176100629
rep2,1,x,5.0,0.007337526205450734
rep2,1,x,10.0,0.007337526205450734
rep2,1,x,15.0,0.005241090146750524
rep2,1,x,20.0,0.0020964360587002098
rep2,1,x,25.0,0.007337526205450734
rep2,1,x,30.0,0.006289308176100629
rep2,1,x,35.0,0.012578616352201259
rep2,1,x,40.0,0.006289308176100629
rep2,1,x,45.0,0.0031446540880503146
rep2,1,y,0.0,0.005241090146750524
rep2,1,y,5.0,0.006289308176100629
rep2,1,y,10.0,0.005241090146750524
rep2,1,y,15.0,0.007337526205450734
rep2,1,y,20.0,0.007337526205450734
rep2,1,y,25.0,0.005241090146750524
rep2,1,y,30.0,0.006289308176100629
rep2,1,y,35.0,0.007337526205450734
rep2,1,y,40.0,0.005241090146750524
rep2,1,y,45.0,0.008385744234800839
rep2,2,x,0.0,0.014675052410901468
rep2,2,x,5.0,0.006289308176100629
rep2,2,x,10.0,0.005241090146750524
rep2,2,x,15.0,0.005241090146750524
rep2,2,x,20.0,0.006289308176100629
rep2,2,x,25.0,0.007337526205450734
rep2,2,x,30.0,0.011530398322851153
