replicate,position,axis,bin_left,colony_count,regrowth_fraction
rep1,pos0,y,0.0,0,0.0
rep1,pos0,y,5.0,0,0.0
rep1,pos0,y,10.0,1,0.00626332329736501
rep1,pos0,y,15.0,4,0.02505329318946004
rep1,pos0,y,20.0,4,0.02505329318946004
rep1,pos0,y,25.0,1,0.00626332329736501
rep1,pos0,y,30.0,1,0.00626332329736501
rep1,pos0,y,35.0,0,0.0
rep1,pos0,y,40.0,0,0.0
rep1,pos0,y,45.0,0,0.0
rep1,pos11,y,0.0,0,0.0
rep1,pos11,y,5.0,0,0.0
rep1,pos11,y,10.0,2,0.01252664659473002
rep1,pos11,y,15.0,3,0.01878996989209503
rep1,pos11,y,20.0,1,0.00626332329736501
rep1,pos11,y,25.0,1,0.00626332329736501
rep1,pos11,y,30.0,2,0.01252664659473002
rep1,pos11,y,35.0,0,0.0
rep1,pos11,y,40.0,0,0.0
rep1,pos11,y,45.0,0,0.0
rep1,pos2,y,0.0,0,0.0
rep1,pos2,y,5.0,0,0.0
rep1,pos2,y,10.0,6,0.03757993978419006
rep1,pos2,y,15.0,8,0.05010658637892008
rep1,pos2,y,20.0,2,0.01252664659473002
rep1,pos2,y,25.0,5,0.03131661648682505
rep1,pos2,y,30.0,0,0.0
rep1,pos2,y,35.0,1,0.00626332329736501
rep1,pos2,y,40.0,0,0.0
rep1,pos2,y,45.0,0,0.0
rep1,pos3,y,0.0,0,0.0
rep1,pos3,y,5.0,0,0.0
rep1,pos3,y,10.0,3,0.01878996989209503
rep1,pos3,y,15.0,4,0.02505329318946004
rep1,pos3,y,20.0,6,0.03757993978419006
rep1,pos3,y,25.0,1,0.00626332329736501
rep1,pos3,y,30.0,0,0.0
rep1,pos3,y,35.0,0,0.0
rep1,pos3,y,40.0,0,0.0
rep1,pos3,y,45.0,0,0.0
rep1,pos6,y,0.0,0,0.0
rep1,pos6,y,5.0,1,0.00626332329736501
rep1,pos6,y,10.0,3,0.01878996989209503
rep1,pos6,y,15.0,4,0.02505329318946004
rep1,pos6,y,20.0,3,0.01878996989209503
rep1,pos6,y,25.0,1,0.00626332329736501
rep1,pos6,y,30.0,2,0.01252664659473002
rep1,pos6,y,35.0,2,0.01252664659473002
rep1,pos6,y,40.0,0,0.0
rep1,pos6,y,45.0,0,0.0
rep1,pos7,y,0.0,0,0.0
rep1,pos7,y,5.0,0,0.0
rep1,pos7,y,10.0,1,0.00626332329736501
rep1,pos7,y,15.0,3,0.01878996989209503
rep1,pos7,y,20.0,2,0.01252664659473002
rep1,pos7,y,25.0,2,0.01252664659473002
rep1,pos7,y,30.0,0,0.0
rep1,pos7,y,35.0,1,0.00626332329736501
rep1,pos7,y,40.0,0,0.0
rep1,pos7,y,45.0,0,0.0
rep1,pos8,y,0.0,0,0.0
rep1,pos8,y,5.0,0,0.0
rep1,pos8,y,10.0,1,0.00626332329736501
rep1,pos8,y,15.0,6,0.03757993978419006
rep1,pos8,y,20.0,4,0.02505329318946004
rep1,pos8,y,25.0,5,0.03131661648682505
rep1,pos8,y,30.0,0,0.0
