colony_id,x,y,frame,position,replicate
1,743.1730769230769,109.75961538461539,44,pos0,replicate1
3,207.8125,343.46875,50,pos0,replicate1
12,749.9152542372881,241.4406779661017,58,pos0,replicate1
14,608.3103448275862,306.2068965517241,59,pos0,replicate1
16,567.6233766233767,133.06493506493507,60,pos0,replicate1
20,583.8604651162791,95.0,62,pos0,replicate1
21,435.75186104218363,126.83870967741936,63,pos0,replicate1
23,577.2631578947369,347.7368421052632,63,pos0,replicate1
40,607.1746031746031,311.12698412698415,73,pos0,replicate1
50,396.3648068669528,603.8583690987125,79,pos0,replicate1
60,109.84563758389261,171.26845637583892,86,pos0,replicate1
69,331.96153846153845,413.2355769230769,93,pos0,replicate1
82,746.0641025641025,375.0,103,pos0,replicate1
96,285.7327188940092,441.05069124423966,113,pos0,replicate1
105,104.30909090909091,317.43636363636364,43,pos1,replicate1
109,151.70325203252034,183.609756097561,45,pos1,replicate1
110,126.75392670157068,247.2460732984293,45,pos1,replicate1
111,207.18571428571428,280.8142857142857,45,pos1,replicate1
112,36.7536231884058,165.0,46,pos1,replicate1
115,36.59375,226.61458333333334,49,pos1,replicate1
122,305.81060606060606,263.02272727272725,54,pos1,replicate1
123,453.53333333333336,334.275,54,pos1,replicate1
127,390.81632653061223,405.0612244897959,57,pos1,replicate1
155,658.2222222222222,253.77777777777777,65,pos1,replicate1
183,470.2857142857143,248.28571428571428,71,pos1,replicate1
200,740.451476793249,197.37552742616035,80,pos1,replicate1
205,312.94444444444446,265.15277777777777,82,pos1,replicate1
212,668.8695652173913,327.7173913043478,86,pos1,replicate1
259,31.053333333333335,155.56,43,pos2,replicate1
260,49.05263157894737,249.5,45,pos2,replicate1
261,99.34545454545454,271.6909090909091,47,pos2,replicate1
264,229.18571428571428,207.0857142857143,50,pos2,replicate1
265,323.96835443037975,106.71518987341773,51,pos2,replicate1
266,711.036809815951,144.31901840490798,51,pos2,replicate1
269,255.6504854368932,453.09223300970876,60,pos2,replicate1
273,340.8394495412844,408.1559633027523,67,pos2,replicate1
305,49.0,451.0,53,pos3,replicate1
306,78.94594594594595,392.85135135135135,55,pos3,replicate1
310,168.85,346.6125,62,pos3,replicate1
311,184.18032786885246,217.37704918032787,63,pos3,replicate1
312,456.0480769230769,342.7019230769231,64,pos3,replicate1
321,212.72222222222223,168.72222222222223,89,pos3,replicate1
322,496.25469168900804,348.7184986595174,89,pos3,replicate1
335,77.41071428571429,427.1517857142857,38,pos4,replicate1
336,472.74074074074076,393.4074074074074,40,pos4,replicate1
337,741.8529411764706,232.9264705882353,41,pos4,replicate1
338,17.153846153846153,301.87692307692305,41,pos4,replicate1
341,510.07547169811323,359.50943396226415,43,pos4,replicate1
344,91.40449438202248,242.22471910112358,45,pos4,replicate1
347,82.74358974358974,348.6923076923077,45,pos4,replicate1
350,195.7846889952153,432.24401913875596,45,pos4,replicate1
355,736.8387096774194,339.8225806451613,47,pos4,replicate1
357,321.56,413.54,47,pos4,replicate1
368,165.85416666666666,337.8541666666667,51,pos4,replicate1
376,557.4285714285714,204.57142857142858,52,pos4,replicate1
378,9.015873015873016,467.6666666666667,52,pos4,replicate1
382,26.54601226993865,242.44171779141104,53,pos4,replicate1
386,603.1555555555556,340.93333333333334,53,pos4,replicate1
387,446.7142857142857,343.1047619047619,53,pos4,replicate1
396,26.063636363636363,366.96363636363634,55,pos4,replicate1
407,699.6938775510204,267.0612244897959,57,pos4,replicate1
412,213.22222222222223,303.06349206349205,58,pos4,replicate1
414,446.3006993006993,287.3286713286713,59,pos4,replicate1
415,419.6029411764706,297.94117647058823,59,pos4,replicate1
427,607.615763546798,391.1773399014778,61,pos4,replicate1
442,679.4807692307693,151.15384615384616,65,pos4,replicate1
450,48.02857142857143,165.62857142857143,67,pos4,replicate1
457,577.4814814814815,310.14814814814815,69,pos4,replicate1
484,107.35064935064935,143.95454545454547,77,pos4,replicate1
530,635.0,301.0,40,pos5,replicate1
531,415.29411764705884,111.3529411764706,41,pos5,replicate1
536,15.045454545454545,292.9318181818182,48,pos5,replicate1
538,300.35766423357666,317.5985401459854,48,pos5,replicate1
540,64.16042780748663,233.5133689839572,50,pos5,replicate1
544,67.46774193548387,265.35483870967744,52,pos5,replicate1
545,125.93023255813954,342.4418604651163,52,pos5,replicate1
551,165.625,505.20454545454544,54,pos5,replicate1
562,115.02564102564102,267.5897435897436,60,pos5,replicate1
563,695.5686274509804,319.98039215686276,60,pos5,replicate1
565,600.5,421.9583333333333,60,pos5,replicate1
570,192.59574468085106,288.1489361702128,62,pos5,replicate1
571,76.4054054054054,382.4864864864865,62,pos5,replicate1
573,726.8867924528302,380.58490566037733,63,pos5,replicate1
576,25.655172413793103,192.86206896551724,64,pos5,replicate1
