replicate,axis,bin_left,regrowth_fraction
rep1,x,0.0,0.02357620753241487
rep1,x,5.0,0.0127438959634675
rep1,x,10.0,0.014655480357987624
rep1,x,15.0,0.009557921972600624
rep1,x,20.0,0.011469506367120748
rep1,x,25.0,0.013381090761640874
rep1,x,30.0,0.011469506367120748
rep1,x,35.0,0.014018285559814247
rep1,x,40.0,0.01146950636712075
rep1,x,45.0,0.017204259550681122
rep1,y,0.0,0.0012743895963467499
rep1,y,5.0,0.010832311568947374
rep1,y,10.0,0.02230181793606812
rep1,y,15.0,0.04205485667944274
rep1,y,20.0,0.03185973990866874
rep1,y,25.0,0.02230181793606812
rep1,y,30.0,0.007009142779907124
rep1,y,35.0,0.0012743895963467499
rep1,y,40.0,0.0006371947981733749
rep1,y,45.0,0.0
rep2,x,0.0,0.03044375146828347
rep2,x,5.0,0.019115843945201248
rep2,x,10.0,0.019115843945201248
rep2,x,15.0,0.014159884403852775
rep2,x,20.0,0.01840784972500861
rep2,x,25.0,0.022655815046164443
rep2,x,30.0,0.02619578614712763
rep2,x,35.0,0.027611774587512912
rep2,x,40.0,0.029027763027898192
rep2,x,45.0,0.03256773412886138
rep2,y,0.0,0.011327907523082222
rep2,y,5.0,0.025487791926934997
rep2,y,10.0,0.047435612752906794
rep2,y,15.0,0.04814360697309943
rep2,y,20.0,0.0346917167894393
rep2,y,25.0,0.03327572834905402
rep2,y,30.0,0.019823838165393886
rep2,y,35.0,0.015575872844238052
rep2,y,40.0,0.0035399711009631942
rep2,y,45.0,0.0
rep3,x,0.0,0.03122254511049537
rep3,x,5.0,0.02166462313789475
rep3,x,10.0,0.02102742833972137
rep3,x,15.0,0.019115843945201248
rep3,x,20.0,0.02485059712876162
rep3,x,25.0,0.027399376321455123
rep3,x,30.0,0.027399376321455123
rep3,x,35.0,0.026124986725108372
rep3,x,40.0,0.029948155514148624
rep3,x,45.0,0.026124986725108372
rep3,y,0.0,0.01975303874337462
rep3,y,5.0,0.04205485667944274
rep3,y,10.0,0.05416155784473686
rep3,y,15.0,0.05288716824839011
rep3,y,20.0,0.03759449309222912
rep3,y,25.0,0.02931096071597524
rep3,y,30.0,0.0127438959634675
rep3,y,35.0,0.0050975583853869995
rep3,y,40.0,0.0012743895963467499
rep3,y,45.0,0.0
