axis,bin_left,mean_regrowth_fraction,std_regrowth_fraction,n_replicates
x,0.0,0.030398152332178543,0.0045016610778265,3
x,5.0,0.01908721192950746,0.00491570866553479,3
x,10.0,0.019541669356400494,0.0034981415790174336,3
x,15.0,0.015274819070571445,0.00511381479094402,3
x,20.0,0.019516421721573102,0.007159340707321628,3
x,25.0,0.02262188080534217,0.007628003694245453,3
x,30.0,0.02320257640637216,0.009489450425361045,3
x,35.0,0.024161986529813013,0.007976774363304722,3
x,40.0,0.02512139665325386,0.011140216678623294,3
x,45.0,0.027065464534962957,0.00825365996676234,3
y,0.0,0.011538169116117603,0.009897233869106653,3
y,5.0,0.027949131753921636,0.01671174115263135,3
y,10.0,0.04418336094793393,0.01796533772493089,3
y,15.0,0.051025469986156834,0.005809205907109634,3
y,20.0,0.037139270831091885,0.003067665555337111,3
y,25.0,0.03027191415804159,0.005944893255414215,3
y,30.0,0.014113427868511467,0.006867310261800041,3
y,35.0,0.007826766796491151,0.007921322205606946,3
y,40.0,0.0019440678817090927,0.0016321380352263847,3
y,45.0,0.0,0.0,3
