replicate,position,axis,bin_left,colony_count,regrowth_fraction
rep1,pos0,y,0.0,0,0.0
rep1,pos0,y,5.0,4,0.027267445613582082
rep1,pos0,y,10.0,1,0.0068168614033955206
rep1,pos0,y,15.0,2,0.013633722806791041
rep1,pos0,y,20.0,4,0.027267445613582082
rep1,pos0,y,25.0,2,0.013633722806791041
rep1,pos0,y,30.0,0,0.0
rep1,pos0,y,35.0,1,0.0068168614033955206
rep1,pos0,y,40.0,0,0.0
rep1,pos0,y,45.0,0,0.0
rep1,pos1,y,0.0,0,0.0
rep1,pos1,y,5.0,0,0.0
rep1,pos1,y,10.0,4,0.027267445613582082
rep1,pos1,y,15.0,6,0.04090116842037312
rep1,pos1,y,20.0,3,0.02045058421018656
rep1,pos1,y,25.0,1,0.0068168614033955206
rep1,pos1,y,30.0,0,0.0
rep1,pos1,y,35.0,0,0.0
rep1,pos1,y,40.0,0,0.0
rep1,pos1,y,45.0,0,0.0
rep1,pos2,y,0.0,0,0.0
rep1,pos2,y,5.0,2,0.013633722806791041
rep1,pos2,y,10.0,2,0.013633722806791041
rep1,pos2,y,15.0,2,0.013633722806791041
rep1,pos2,y,20.0,0,0.0
rep1,pos2,y,25.0,2,0.013633722806791041
rep1,pos2,y,30.0,0,0.0
rep1,pos2,y,35.0,0,0.0
rep1,pos2,y,40.0,0,0.0
rep1,pos2,y,45.0,0,0.0
rep1,pos3,y,0.0,0,0.0
rep1,pos3,y,5.0,0,0.0
rep1,pos3,y,10.0,2,0.013633722806791041
rep1,pos3,y,15.0,0,0.0
rep1,pos3,y,20.0,3,0.02045058421018656
rep1,pos3,y,25.0,2,0.013633722806791041
rep1,pos3,y,30.0,0,0.0
rep1,pos3,y,35.0,0,0.0
rep1,pos3,y,40.0,0,0.0
rep1,pos3,y,45.0,0,0.0
rep1,pos4,y,0.0,0,0.0
rep1,pos4,y,5.0,2,0.013633722806791041
rep1,pos4,y,10.0,2,0.013633722806791041
rep1,pos4,y,15.0,8,0.054534891227164164
rep1,pos4,y,20.0,8,0.054534891227164164
rep1,pos4,y,25.0,5,0.0340843070169776
rep1,pos4,y,30.0,1,0.0068168614033955206
rep1,pos4,y,35.0,0,0.0
rep1,pos4,y,40.0,0,0.0
rep1,pos4,y,45.0,0,0.0
rep1,pos5,y,0.0,0,0.0
rep1,pos5,y,5.0,1,0.0068168614033955206
rep1,pos5,y,10.0,2,0.013633722806791041
rep1,pos5,y,15.0,10,0.0681686140339552
rep1,pos5,y,20.0,7,0.04771802982376864
rep1,pos5,y,25.0,1,0.0068168614033955206
rep1,pos5,y,30.0,1,0.0068168614033955206
rep1,pos5,y,35.0,0,0.0
rep1,pos5,y,40.0,0,0.0
rep1,pos5,y,45.0,0,0.0
rep1,pos6,y,0.0,1,0.0068168614033955206
rep1,pos6,y,5.0,4,0.027267445613582082
rep1,pos6,y,10.0,7,0.04771802982376864
rep1,pos6,y,15.0,11,0.07498547543735072
rep1,pos6,y,20.0,11,0.07498547543735072
rep1,pos6,y,25.0,7,0.04771802982376864
rep1,pos6,y,30.0,1,0.0068168614033955206
rep1,pos6,y,35.0,0,0.0
rep1,pos6,y,40.0,0,0.0
rep1,pos6,y,45.0,0,0.0
rep1,pos7,y,0.0,0,0.0
rep1,pos7,y,5.0,2,0.013633722806791041
rep1,pos7,y,10.0,1,0.0068168614033955206
rep1,pos7,y,15.0,8,0.054534891227164164
rep1,pos7,y,20.0,2,0.013633722806791041
rep1,pos7,y,25.0,3,0.02045058421018656
rep1,pos7,y,30.0,0,0.0
rep1,pos7,y,35.0,0,0.0
rep1,pos7,y,40.0,0,0.0
rep1,pos7,y,45.0,0,0.0
rep1,pos8,y,0.0,0,0.0
rep1,pos8,y,5.0,0,0.0
rep1,pos8,y,10.0,8,0.054534891227164164
rep1,pos8,y,15.0,8,0.054534891227164164
rep1,pos8,y,20.0,9,0.06135175263055968
rep1,pos8,y,25.0,7,0.04771802982376864
rep1,pos8,y,30.0,6,0.04090116842037312
rep1,pos8,y,35.0,0,0.0
rep1,pos8,y,40.0,0,0.0
rep1,pos8,y,45.0,0,0.0
rep1,pos9,y,0.0,1,0.0068168614033955206
rep1,pos9,y,5.0,2,0.013633722806791041
rep1,pos9,y,10.0,6,0.04090116842037312
rep1,pos9,y,15.0,11,0.07498547543735072
rep1,pos9,y,20.0,3,0.02045058421018656
rep1,pos9,y,25.0,5,0.0340843070169776
rep1,pos9,y,30.0,2,0.013633722806791041
rep1,pos9,y,35.0,1,0.0068168614033955206
rep1,pos9,y,40.0,1,0.0068168614033955206
rep1,pos9,y,45.0,0,0.0
rep1,pos0,x,0.0,0,0.0
rep1,pos0,x,5.0,1,0.0068168614033955206
rep1,pos0,x,10.0,1,0.0068168614033955206
rep1,pos0,x,15.0,1,0.0068168614033955206
rep1,pos0,x,20.0,1,0.0068168614033955206
