axis,bin_left,mean_regrowth_fraction,std_regrowth_fraction,n_replicates
x,0.0,0.0,0.0,3
x,5.0,0.0,0.0,3
x,10.0,0.0,0.0,3
x,15.0,0.0,0.0,3
x,20.0,0.00020877744324550033,0.00036161313917553427,3
x,25.0,0.0,0.0,3
x,30.0,0.00020877744324550033,0.00036161313917553427,3
x,35.0,0.0,0.0,3
x,40.0,0.0,0.0,3
x,45.0,0.0,0.0,3
y,0.0,0.0,0.0,3
y,5.0,0.0,0.0,3
y,10.0,0.00020877744324550033,0.00036161313917553427,3
y,15.0,0.0,0.0,3
y,20.0,0.0,0.0,3
y,25.0,0.00020877744324550033,0.00036161313917553427,3
y,30.0,0.0,0.0,3
y,35.0,0.0,0.0,3
y,40.0,0.0,0.0,3
y,45.0,0.0,0.0,3
