axis,bin_left,mean_regrowth_fraction,std_regrowth_fraction,n_replicates
x,0.0,0.028414168037064567,0.00420785292847792,3
x,5.0,0.017841454348854497,0.004594877034546061,3
x,10.0,0.01826625088097008,0.0032698297435145574,3
x,15.0,0.01427788344055155,0.0047800534451067425,3
x,20.0,0.018242651073630326,0.0066920748231494385,3
x,25.0,0.02114542737642015,0.007130149766576497,3
x,30.0,0.0216882229452345,0.008870106183400344,3
x,35.0,0.022585015624145176,0.007456157357062814,3
x,40.0,0.023481808303055855,0.010413132522552437,3
x,45.0,0.025298993468216957,0.007714971576352069,3
y,0.0,0.010785111954267864,0.009251274984934879,3
y,5.0,0.02612498672510837,0.015621022492216823,3
y,10.0,0.041299662844570595,0.016792801068321303,3
y,15.0,0.04769521063364409,0.005430058741819974,3
y,20.0,0.03471531659677906,0.002867449429766601,3
y,25.0,0.02829616900036579,0.005556890237139137,3
y,30.0,0.013192292302922836,0.006419104214267878,3
y,35.0,0.007315940275323934,0.007404324373609587,3
y,40.0,0.0018171851651611062,0.001525613921722304,3
y,45.0,0.0,0.0,3
