colony_id,x,y,frame,position,replicate,hours,x_um,y_um,x_bin,y_bin
1,743.1730769230769,109.7596153846154,44,pos0,rep1,3.6666666666666665,48.30625,7.134375000000001,"(45.0, 50.0]","(5.0, 10.0]"
3,207.8125,343.46875,50,pos0,rep1,4.166666666666666,13.5078125,22.325468750000002,"(10.0, 15.0]","(20.0, 25.0]"
12,749.9152542372881,241.4406779661017,58,pos0,rep1,4.833333333333333,48.744491525423726,15.693644067796612,"(45.0, 50.0]","(15.0, 20.0]"
14,608.3103448275862,306.2068965517241,59,pos0,rep1,4.916666666666666,39.5401724137931,19.90344827586207,"(35.0, 40.0]","(15.0, 20.0]"
16,567.6233766233767,133.06493506493507,60,pos0,rep1,5.0,36.89551948051948,8.64922077922078,"(35.0, 40.0]","(5.0, 10.0]"
20,583.8604651162791,95.0,62,pos0,rep1,5.166666666666666,37.95093023255814,6.175,"(35.0, 40.0]","(5.0, 10.0]"
21,435.7518610421836,126.83870967741936,63,pos0,rep1,5.25,28.323870967741932,8.24451612903226,"(25.0, 30.0]","(5.0, 10.0]"
23,577.2631578947369,347.7368421052632,63,pos0,rep1,5.25,37.5221052631579,22.602894736842106,"(35.0, 40.0]","(20.0, 25.0]"
40,607.1746031746031,311.12698412698415,73,pos0,rep1,6.083333333333333,39.46634920634921,20.22325396825397,"(35.0, 40.0]","(20.0, 25.0]"
50,396.3648068669528,603.8583690987125,79,pos0,rep1,6.583333333333333,25.76371244635193,39.250793991416316,"(25.0, 30.0]","(35.0, 40.0]"
60,109.8456375838926,171.26845637583892,86,pos0,rep1,7.166666666666666,7.139966442953019,11.132449664429531,"(5.0, 10.0]","(10.0, 15.0]"
69,331.96153846153845,413.2355769230769,93,pos0,rep1,7.75,21.5775,26.8603125,"(20.0, 25.0]","(25.0, 30.0]"
82,746.0641025641025,375.0,103,pos0,rep1,8.583333333333332,48.494166666666665,24.375,"(45.0, 50.0]","(20.0, 25.0]"
96,285.7327188940092,441.05069124423966,113,pos0,rep1,9.416666666666666,18.5726267281106,28.66829493087558,"(15.0, 20.0]","(25.0, 30.0]"
105,104.30909090909093,317.43636363636364,43,pos1,rep1,3.583333333333333,6.7800909090909105,20.633363636363637,"(5.0, 10.0]","(20.0, 25.0]"
