replicate,axis,bin_left,regrowth_fraction
rep1,x,0.0,0.025222387192563422
rep1,x,5.0,0.013633722806791041
rep1,x,10.0,0.015678781227809697
rep1,x,15.0,0.010225292105093282
rep1,x,20.0,0.012270350526111936
rep1,x,25.0,0.014315408947130593
rep1,x,30.0,0.012270350526111936
rep1,x,35.0,0.014997095087470144
rep1,x,40.0,0.012270350526111936
rep1,x,45.0,0.018405525789167904
rep1,y,0.0,0.0013633722806791042
rep1,y,5.0,0.011588664385772385
rep1,y,10.0,0.023859014911884323
rep1,y,15.0,0.04499128526241043
rep1,y,20.0,0.0340843070169776
rep1,y,25.0,0.023859014911884323
rep1,y,30.0,0.007498547543735072
rep1,y,35.0,0.0013633722806791042
rep1,y,40.0,0.0006816861403395521
rep1,y,45.0,0.0
rep2,x,0.0,0.032569448927334155
rep2,x,5.0,0.020450584210186563
rep2,x,10.0,0.02045058421018656
rep2,x,15.0,0.01514858089643449
rep2,x,20.0,0.019693155165364837
rep2,x,25.0,0.024237729434295183
rep2,x,30.0,0.02802487465840381
rep2,x,35.0,0.02953973274804726
rep2,x,40.0,0.0310545908376907
rep2,x,45.0,0.03484173606179933
rep2,y,0.0,0.012118864717147591
rep2,y,5.0,0.027267445613582082
rep2,y,10.0,0.05074774600305554
rep2,y,15.0,0.05150517504787726
rep2,y,20.0,0.037114023196264494
rep2,y,25.0,0.035599165106621054
rep2,y,30.0,0.021208013255008287
rep2,y,35.0,0.016663438986077937
rep2,y,40.0,0.0037871452241086223
rep2,y,45.0,0.0
rep3,x,0.0,0.03340262087663805
rep3,x,5.0,0.02317732877154477
rep3,x,10.0,0.022495642631205216
rep3,x,15.0,0.020450584210186563
rep3,x,20.0,0.026585759473242532
rep3,x,25.0,0.029312504034600735
rep3,x,30.0,0.02931250403460074
rep3,x,35.0,0.02794913175392163
rep3,x,40.0,0.03203924859595895
rep3,x,45.0,0.027949131753921636
rep3,y,0.0,0.02113227035052611
rep3,y,5.0,0.04499128526241043
rep3,y,10.0,0.057943321928861924
rep3,y,15.0,0.05657994964818282
rep3,y,20.0,0.04021948228003357
rep3,y,25.0,0.031357562455619395
rep3,y,30.0,0.013633722806791041
rep3,y,35.0,0.005453489122716417
rep3,y,40.0,0.0013633722806791042
rep3,y,45.0,0.0
