colony_id,x,y,frame,position,replicate
2,598.1033519553073,240.73743016759775,28,pos0,replicate1
61,573.7678571428571,445.44642857142856,91,pos2,replicate1
63,617.0,460.36,92,pos2,replicate1
164,431.0,382.34615384615387,168,pos4,replicate1
166,741.7272727272727,337.2809917355372,169,pos4,replicate1
237,286.1290322580645,477.3225806451613,76,pos8,replicate1
335,6.928571428571429,152.5,161,pos8,replicate1
347,744.3118279569892,206.494623655914,173,pos8,replicate1
362,376.41379310344826,275.9310344827586,82,pos10,replicate1
467,283.8888888888889,430.97222222222223,116,pos12,replicate1
500,715.8205128205128,491.6794871794872,158,pos12,replicate1
515,621.6470588235294,522.0784313725491,176,pos12,replicate1
524,500.75,491.4821428571428,83,pos14,replicate1
531,505.92857142857144,460.95238095238096,90,pos14,replicate1
585,559.9017857142857,401.67857142857144,127,pos14,replicate1
604,747.5797101449275,624.9420289855072,167,pos14,replicate1
606,745.1538461538462,480.89230769230767,170,pos14,replicate1
694,636.0,404.0,106,pos20,replicate1
714,16.48913043478261,528.804347826087,164,pos20,replicate1
725,752.1025641025641,240.33333333333337,173,pos20,replicate1
736,125.32857142857142,267.24285714285713,24,pos24,replicate1
828,382.84313725490193,525.2745098039215,80,pos26,replicate1
910,48.323076923076925,346.32307692307694,15,pos30,replicate1
911,235.02777777777777,391.75,26,pos30,replicate1
920,241.1570247933884,284.91735537190084,47,pos30,replicate1
921,557.5333333333333,232.55555555555551,48,pos30,replicate1
922,164.31055900621118,265.3354037267081,49,pos30,replicate1
923,480.0,448.29761904761904,50,pos30,replicate1
932,488.7894736842105,398.5,70,pos30,replicate1
946,723.6582278481013,228.7594936708861,82,pos30,replicate1
959,725.6609195402299,237.73563218390805,91,pos30,replicate1
977,748.9801324503311,377.841059602649,113,pos30,replicate1
1096,398.26,613.855,8,pos32,replicate1
1104,356.3965517241379,434.3965517241379,12,pos32,replicate1
1111,473.7755102040816,419.81632653061223,16,pos32,replicate1
1112,335.2266009852217,540.5098522167488,16,pos32,replicate1
1116,198.3763440860215,675.5376344086021,17,pos32,replicate1
1120,424.0634920634921,584.8095238095239,20,pos32,replicate1
1127,524.171875,512.3125,22,pos32,replicate1
1131,701.8787878787879,390.5,26,pos32,replicate1
1141,191.31521739130432,300.89130434782606,33,pos32,replicate1
1155,625.7272727272727,501.1969696969697,38,pos32,replicate1
1166,646.2173913043479,594.8913043478261,40,pos32,replicate1
1191,717.0526315789474,332.5,53,pos32,replicate1
167,109.17619773839546,370.725914829982,0,pos4,replicate1
168,169.82164027959362,445.0165819429498,0,pos4,replicate1
1,505.4872387566007,521.1542266146791,0,pos6,replicate_1
348,306.663737000723,389.70921567970294,0,pos8,replicate1
516,267.7465904724353,421.90839058397023,34,pos12,replicate1
1,678.2521236322941,371.70955573846135,0,pos16,replicate_1
659,337.7843899496964,480.88998481855975,0,pos18,replicate1
660,441.542243808927,527.3487253525436,0,pos18,replicate1
726,471.9376217808282,495.1364507022397,0,pos20,replicate1
727,213.22417365271443,444.3177376770745,20,pos20,replicate1
728,645.9532148669999,378.09941464428346,30,pos20,replicate1
798,242.29282264610447,238.66481588170535,0,pos24,replicate1
799,495.4095563360166,397.2439743380358,0,pos24,replicate1
800,483.21115953168345,462.8103571613263,0,pos24,replicate1
801,718.0302980150959,330.1527919142037,0,pos24,replicate1
900,721.1488101441225,412.7504987020501,0,pos26,replicate1
901,395.93762640623544,511.8624785078823,0,pos26,replicate1
902,735.0864323043177,278.0201511534968,64,pos26,replicate1
1395,559.0955114161437,310.3411306107299,0,pos32,replicate1
1396,562.1754334176688,350.38011663055704,0,pos32,replicate1
1397,203.36452023998737,270.30214459090274,0,pos32,replicate1
1398,278.8226092773539,313.42105261225504,0,pos32,replicate1
1399,224.9239742506636,393.4990246519093,46,pos32,replicate1
1400,254.1832332651526,510.5360607098655,46,pos32,replicate1
1401,737.7309875046033,314.96101361301766,0,pos32,replicate1
978,568.4808489274549,284.2146498913614,19,pos30,replicate1
979,703.2111964760081,281.11740052242914,0,pos30,replicate1
980,562.2863501895904,384.8752543816598,18,pos30,replicate1
981,503.4386121798775,364.7431334836001,18,pos30,replicate1
982,587.0643451410484,199.0402922457243,5,pos30,replicate1
983,150.35218412159995,251.69353151757264,17,pos30,replicate1
984,285.08253167015323,358.54863474573557,12,pos30,replicate1
802,249.91682064881263,211.21842307195587,93,pos24,replicate1
803,286.51201106181196,232.5656174795388,93,pos24,replicate1
903,713.405686721792,285.7632745758275,38,pos26,replicate1
904,567.8349663819758,279.56877583796296,156,pos26,replicate1
