colony_id,x,y,frame,position,replicate,hours,x_um,y_um,x_bin,y_bin
2,598.1033519553073,240.73743016759775,28,pos0,rep1,2.333333333333333,38.876717877094976,15.647932960893854,"(35.0, 40.0]","(15.0, 20.0]"
61,573.7678571428571,445.44642857142856,91,pos2,rep1,7.583333333333333,37.29491071428571,28.95401785714286,"(35.0, 40.0]","(25.0, 30.0]"
63,617.0,460.36,92,pos2,rep1,7.666666666666666,40.105000000000004,29.9234,"(40.0, 45.0]","(25.0, 30.0]"
164,431.0,382.34615384615387,168,pos4,rep1,14.0,28.015,24.852500000000003,"(25.0, 30.0]","(20.0, 25.0]"
166,741.7272727272727,337.2809917355372,169,pos4,rep1,14.083333333333332,48.21227272727273,21.923264462809918,"(45.0, 50.0]","(20.0, 25.0]"
237,286.1290322580645,477.3225806451613,76,pos8,rep1,6.333333333333333,18.598387096774193,31.025967741935485,"(15.0, 20.0]","(30.0, 35.0]"
335,6.928571428571429,152.5,161,pos8,rep1,13.416666666666666,0.4503571428571429,9.9125,"(-0.001, 5.0]","(5.0, 10.0]"
347,744.3118279569892,206.494623655914,173,pos8,rep1,14.416666666666666,48.380268817204296,13.422150537634412,"(45.0, 50.0]","(10.0, 15.0]"
362,376.41379310344826,275.9310344827586,82,pos10,rep1,6.833333333333333,24.466896551724137,17.93551724137931,"(20.0, 25.0]","(15.0, 20.0]"
467,283.8888888888889,430.97222222222223,116,pos12,rep1,9.666666666666666,18.45277777777778,28.013194444444444,"(15.0, 20.0]","(25.0, 30.0]"
500,715.8205128205128,491.6794871794872,158,pos12,rep1,13.166666666666666,46.528333333333336,31.95916666666667,"(45.0, 50.0]","(30.0, 35.0]"
515,621.6470588235294,522.0784313725491,176,pos12,rep1,14.666666666666666,40.40705882352941,33.93509803921569,"(40.0, 45.0]","(30.0, 35.0]"
524,500.75,491.4821428571428,83,pos14,rep1,6.916666666666666,32.54875,31.94633928571428,"(30.0, 35.0]","(30.0, 35.0]"
531,505.92857142857144,460.95238095238096,90,pos14,rep1,7.5,32.885357142857146,29.961904761904762,"(30.0, 35.0]","(25.0, 30.0]"
585,559.9017857142857,401.67857142857144,127,pos14,rep1,10.583333333333332,36.39361607142857,26.109107142857145,"(35.0, 40.0]","(25.0, 30.0]"
604,747.5797101449275,624.9420289855072,167,pos14,rep1,13.916666666666666,48.59268115942029,40.62123188405797,"(45.0, 50.0]","(40.0, 45.0]"
606,745.1538461538462,480.89230769230767,170,pos14,rep1,14.166666666666666,48.435,31.258,"(45.0, 50.0]","(30.0, 35.0]"
694,636.0,404.0,106,pos20,rep1,8.833333333333332,41.34,26.26,"(40.0, 45.0]","(25.0, 30.0]"
714,16.48913043478261,528.804347826087,164,pos20,rep1,13.666666666666666,1.0717934782608696,34.372282608695656,"(-0.001, 5.0]","(30.0, 35.0]"
