axis,bin_left,mean_regrowth_fraction,std_regrowth_fraction,n_replicates
x,0.0,0.004384326308155507,0.0,1
x,5.0,0.0062633232973650105,0.0,1
x,10.0,0.008768652616311014,0.0,1
x,15.0,0.0062633232973650105,0.0,1
x,20.0,0.005636990967628508,0.0,1
x,25.0,0.005636990967628508,0.0,1
x,30.0,0.007515987956838012,0.0,1
x,35.0,0.0062633232973650105,0.0,1
x,40.0,0.007515987956838012,0.0,1
x,45.0,0.0031316616486825044,0.0,1
y,0.0,0.0,0.0,1
y,5.0,0.001252664659473002,0.0,1
y,10.0,0.004384326308155507,0.0,1
y,15.0,0.01941630222183153,0.0,1
y,20.0,0.023800628529987038,0.0,1
y,25.0,0.008142320286574512,0.0,1
y,30.0,0.0031316616486825053,0.0,1
y,35.0,0.000626332329736501,0.0,1
y,40.0,0.000626332329736501,0.0,1
y,45.0,0.0,0.0,1
