replicate,position,axis,bin_left,colony_count,regrowth_fraction
rep1,pos1,y,0.0,0,0.0
rep1,pos1,y,5.0,0,0.0
rep1,pos1,y,10.0,3,0.01878996989209503
rep1,pos1,y,15.0,7,0.04384326308155507
rep1,pos1,y,20.0,5,0.03131661648682505
rep1,pos1,y,25.0,2,0.01252664659473002
rep1,pos1,y,30.0,1,0.00626332329736501
rep1,pos1,y,35.0,0,0.0
rep1,pos1,y,40.0,0,0.0
rep1,pos1,y,45.0,0,0.0
rep1,pos10,y,0.0,0,0.0
rep1,pos10,y,5.0,0,0.0
rep1,pos10,y,10.0,0,0.0
rep1,pos10,y,15.0,0,0.0
rep1,pos10,y,20.0,0,0.0
rep1,pos10,y,25.0,0,0.0
rep1,pos10,y,30.0,0,0.0
rep1,pos10,y,35.0,0,0.0
rep1,pos10,y,40.0,0,0.0
rep1,pos10,y,45.0,0,0.0
rep1,pos2,y,0.0,0,0.0
rep1,pos2,y,5.0,0,0.0
rep1,pos2,y,10.0,3,0.01878996989209503
rep1,pos2,y,15.0,1,0.00626332329736501
rep1,pos2,y,20.0,7,0.04384326308155507
rep1,pos2,y,25.0,2,0.01252664659473002
rep1,pos2,y,30.0,0,0.0
rep1,pos2,y,35.0,0,0.0
rep1,pos2,y,40.0,0,0.0
rep1,pos2,y,45.0,0,0.0
rep1,pos3,y,0.0,0,0.0
rep1,pos3,y,5.0,0,0.0
rep1,pos3,y,10.0,1,0.00626332329736501
rep1,pos3,y,15.0,6,0.03757993978419006
rep1,pos3,y,20.0,4,0.02505329318946004
rep1,pos3,y,25.0,1,0.00626332329736501
rep1,pos3,y,30.0,3,0.01878996989209503
rep1,pos3,y,35.0,1,0.00626332329736501
rep1,pos3,y,40.0,1,0.00626332329736501
rep1,pos3,y,45.0,0,0.0
rep1,pos4,y,0.0,0,0.0
rep1,pos4,y,5.0,0,0.0
rep1,pos4,y,10.0,0,0.0
rep1,pos4,y,15.0,14,0.08768652616311014
rep1,pos4,y,20.0,11,0.06889655627101511
rep1,pos4,y,25.0,3,0.01878996989209503
rep1,pos4,y,30.0,0,0.0
rep1,pos4,y,35.0,0,0.0
rep1,pos4,y,40.0,0,0.0
rep1,pos4,y,45.0,0,0.0
rep1,pos5,y,0.0,0,0.0
rep1,pos5,y,5.0,0,0.0
rep1,pos5,y,10.0,0,0.0
rep1,pos5,y,15.0,2,0.01252664659473002
rep1,pos5,y,20.0,5,0.03131661648682505
rep1,pos5,y,25.0,2,0.01252664659473002
rep1,pos5,y,30.0,1,0.00626332329736501
rep1,pos5,y,35.0,0,0.0
rep1,pos5,y,40.0,0,0.0
rep1,pos5,y,45.0,0,0.0
rep1,pos6,y,0.0,0,0.0
rep1,pos6,y,5.0,0,0.0
rep1,pos6,y,10.0,0,0.0
rep1,pos6,y,15.0,0,0.0
rep1,pos6,y,20.0,0,0.0
rep1,pos6,y,25.0,0,0.0
rep1,pos6,y,30.0,0,0.0
rep1,pos6,y,35.0,0,0.0
rep1,pos6,y,40.0,0,0.0
rep1,pos6,y,45.0,0,0.0
rep1,pos7,y,0.0,0,0.0
rep1,pos7,y,5.0,2,0.01252664659473002
rep1,pos7,y,10.0,0,0.0
rep1,pos7,y,15.0,1,0.00626332329736501
rep1,pos7,y,20.0,6,0.03757993978419006
rep1,pos7,y,25.0,3,0.01878996989209503
rep1,pos7,y,30.0,0,0.0
rep1,pos7,y,35.0,0,0.0
rep1,pos7,y,40.0,0,0.0
rep1,pos7,y,45.0,0,0.0
rep1,pos8,y,0.0,0,0.0
rep1,pos8,y,5.0,0,0.0
rep1,pos8,y,10.0,0,0.0
rep1,pos8,y,15.0,0,0.0
rep1,pos8,y,20.0,0,0.0
rep1,pos8,y,25.0,0,0.0
rep1,pos8,y,30.0,0,0.0
rep1,pos8,y,35.0,0,0.0
rep1,pos8,y,40.0,0,0.0
rep1,pos8,y,45.0,0,0.0
rep1,pos9,y,0.0,0,0.0
rep1,pos9,y,5.0,0,0.0
rep1,pos9,y,10.0,0,0.0
rep1,pos9,y,15.0,0,0.0
rep1,pos9,y,20.0,0,0.0
rep1,pos9,y,25.0,0,0.0
rep1,pos9,y,30.0,0,0.0
rep1,pos9,y,35.0,0,0.0
rep1,pos9,y,40.0,0,0.0
rep1,pos9,y,45.0,0,0.0
rep1,pos1,x,0.0,2,0.01252664659473002
rep1,pos1,x,5.0,2,0.01252664659473002
rep1,pos1,x,10.0,1,0.00626332329736501
rep1,pos1,x,15.0,2,0.01252664659473002
rep1,pos1,x,20.0,1,0.00626332329736501
rep1,pos1,x,25.0,1,0.00626332329736501
rep1,pos1,x,30.0,4,0.02505329318946004
rep1,pos1,x,35.0,0,0.0
rep1,pos1,x,40.0,4,0.02505329318946004
rep1,pos1,x,45.0,1,0.00626332329736501
rep1,pos10,x,0.0,0,0.0
rep1,pos10,x,5.0,0,0.0
rep1,pos10,x,10.0,0,0.0
rep1,pos10,x,15.0,0,0.0
rep1,pos10,x,20.0,0,0.0
rep1,pos10,x,25.0,0,0.0
rep1,pos10,x,30.0,0,0.0
rep1,pos10,x,35.0,0,0.0
rep1,pos10,x,40.0,0,0.0
rep1,pos10,x,45.0,0,0.0
rep1,pos2,x,0.0,0,0.0
rep1,pos2,x,5.0,1,0.00626332329736501
rep1,pos2,x,10.0,3,0.01878996989209503
rep1,pos2,x,15.0,2,0.01252664659473002
rep1,pos2,x,20.0,0,0.0
rep1,pos2,x,25.0,2,0.01252664659473002
rep1,pos2,x,30.0,0,0.0
rep1,pos2,x,35.0,3,0.01878996989209503
rep1,pos2,x,40.0,2,0.01252664659473002
rep1,pos2,x,45.0,0,0.0
rep1,pos3,x,0.0,0,0.0
rep1,pos3,x,5.0,0,0.0
rep1,pos3,x,10.0,3,0.01878996989209503
rep1,pos3,x,15.0,1,0.00626332329736501
rep1,pos3,x,20.0,1,0.00626332329736501
rep1,pos3,x,25.0,0,0.0
rep1,pos3,x,30.0,4,0.02505329318946004
rep1,pos3,x,35.0,4,0.02505329318946004
rep1,pos3,x,40.0,2,0.01252664659473002
rep1,pos3,x,45.0,2,0.01252664659473002
rep1,pos4,x,0.0,3,0.01878996989209503
rep1,pos4,x,5.0,4,0.02505329318946004
rep1,pos4,x,10.0,3,0.01878996989209503
rep1,pos4,x,15.0,4,0.02505329318946004
rep1,pos4,x,20.0,5,0.03131661648682505
rep1,pos4,x,25.0,1,0.00626332329736501
rep1,pos4,x,30.0,1,0.00626332329736501
rep1,pos4,x,35.0,2,0.01252664659473002
rep1,pos4,x,40.0,4,0.02505329318946004
rep1,pos4,x,45.0,1,0.00626332329736501
rep1,pos5,x,0.0,1,0.00626332329736501
rep1,pos5,x,5.0,1,0.00626332329736501
rep1,pos5,x,10.0,3,0.01878996989209503
rep1,pos5,x,15.0,1,0.00626332329736501
rep1,pos5,x,20.0,1,0.00626332329736501
rep1,pos5,x,25.0,2,0.01252664659473002
rep1,pos5,x,30.0,1,0.00626332329736501
rep1,pos5,x,35.0,0,0.0
rep1,pos5,x,40.0,0,0.0
rep1,pos5,x,45.0,0,0.0
rep1,pos6,x,0.0,0,0.0
rep1,pos6,x,5.0,0,0.0
rep1,pos6,x,10.0,0,0.0
rep1,pos6,x,15.0,0,0.0
rep1,pos6,x,20.0,0,0.0
rep1,pos6,x,25.0,0,0.0
rep1,pos6,x,30.0,0,0.0
rep1,pos6,x,35.0,0,0.0
rep1,pos6,x,40.0,0,0.0
rep1,pos6,x,45.0,0,0.0
rep1,pos7,x,0.0,1,0.00626332329736501
rep1,pos7,x,5.0,2,0.01252664659473002
rep1,pos7,x,10.0,1,0.00626332329736501
rep1,pos7,x,15.0,0,0.0
rep1,pos7,x,20.0,1,0.00626332329736501
rep1,pos7,x,25.0,3,0.01878996989209503
rep1,pos7,x,30.0,2,0.01252664659473002
rep1,pos7,x,35.0,1,0.00626332329736501
rep1,pos7,x,40.0,0,0.0
rep1,pos7,x,45.0,1,0.00626332329736501
rep1,pos8,x,0.0,0,0.0
rep1,pos8,x,5.0,0,0.0
rep1,pos8,x,10.0,0,0.0
rep1,pos8,x,15.0,0,0.0
rep1,pos8,x,20.0,0,0.0
rep1,pos8,x,25.0,0,0.0
rep1,pos8,x,30.0,0,0.0
rep1,pos8,x,35.0,0,0.0
rep1,pos8,x,40.0,0,0.0
rep1,pos8,x,45.0,0,0.0
rep1,pos9,x,0.0,0,0.0
rep1,pos9,x,5.0,0,0.0
rep1,pos9,x,10.0,0,0.0
