colony_id,x,y,frame,position,replicate,hours,x_um,y_um,y_bin,x_bin,regrowth
,,,,pos0,replicate2,,,,,,no
,,,,pos1,replicate2,,,,,,no
,,,,pos2,replicate2,,,,,,no
,,,,pos3,replicate2,,,,,,no
,,,,pos3,replicate2,,,,,,no
,,,,pos5,replicate2,,,,,,no
,,,,pos6,replicate2,,,,,,no
1,367.8014468,328.0646024,200,pos7,replicate2,16.66666667,23.90709404,21.32419916,"(20.0, 25.0]","(20.0, 25.0]",yes
,,,,pos8,replicate2,,,,,,no
2,201.67704,191.4138807,90,pos9,replicate2,7.5,13.1090076,12.44190224,"(10.0, 15.0]","(10.0, 15.0]",yes
3,140.0502439,247.6818249,90,pos9,replicate2,7.5,9.103265853,16.09931862,"(15.0, 20.0]","(5.0, 10.0]",yes
4,198.9976141,475.4330279,90,pos9,replicate2,7.5,12.93484491,30.90314681,"(30.0, 35.0]","(10.0, 15.0]",yes
