replicate,position,axis,bin_left,colony_count,regrowth_fraction
rep1,pos15,x,0.0,0.0,0.0
rep1,pos15,x,5.0,0.0,0.0
rep1,pos15,x,10.0,0.0,0.0
rep1,pos15,x,15.0,0.0,0.0
rep1,pos15,x,20.0,0.0,0.0
rep1,pos15,x,25.0,0.0,0.0
rep1,pos15,x,30.0,0.0,0.0
rep1,pos15,x,35.0,0.0,0.0
rep1,pos15,x,40.0,0.0,0.0
rep1,pos15,x,45.0,0.0,0.0
rep1,pos15,y,0.0,0.0,0.0
rep1,pos15,y,5.0,0.0,0.0
rep1,pos15,y,10.0,0.0,0.0
rep1,pos15,y,15.0,0.0,0.0
rep1,pos15,y,20.0,0.0,0.0
rep1,pos15,y,25.0,0.0,0.0
rep1,pos15,y,30.0,0.0,0.0
rep1,pos15,y,35.0,0.0,0.0
rep1,pos15,y,40.0,0.0,0.0
rep1,pos15,y,45.0,0.0,0.0
rep1,pos16,x,0.0,0.0,0.0
rep1,pos16,x,5.0,0.0,0.0
rep1,pos16,x,10.0,0.0,0.0
rep1,pos16,x,15.0,0.0,0.0
rep1,pos16,x,20.0,0.0,0.0
rep1,pos16,x,25.0,0.0,0.0
rep1,pos16,x,30.0,0.0,0.0
rep1,pos16,x,35.0,0.0,0.0
rep1,pos16,x,40.0,0.0,0.0
rep1,pos16,x,45.0,0.0,0.0
rep1,pos16,y,0.0,0.0,0.0
rep1,pos16,y,5.0,0.0,0.0
rep1,pos16,y,10.0,0.0,0.0
rep1,pos16,y,15.0,0.0,0.0
rep1,pos16,y,20.0,0.0,0.0
rep1,pos16,y,25.0,0.0,0.0
rep1,pos16,y,30.0,0.0,0.0
rep1,pos16,y,35.0,0.0,0.0
rep1,pos16,y,40.0,0.0,0.0
rep1,pos16,y,45.0,0.0,0.0
rep1,pos17,x,0.0,0.0,0.0
rep1,pos17,x,5.0,0.0,0.0
rep1,pos17,x,10.0,0.0,0.0
rep1,pos17,x,15.0,0.0,0.0
rep1,pos17,x,20.0,0.0,0.0
rep1,pos17,x,25.0,0.0,0.0
rep1,pos17,x,30.0,0.0,0.0
rep1,pos17,x,35.0,0.0,0.0
rep1,pos17,x,40.0,0.0,0.0
rep1,pos17,x,45.0,0.0,0.0
rep1,pos17,y,0.0,0.0,0.0
rep1,pos17,y,5.0,0.0,0.0
rep1,pos17,y,10.0,0.0,0.0
rep1,pos17,y,15.0,0.0,0.0
rep1,pos17,y,20.0,0.0,0.0
rep1,pos17,y,25.0,0.0,0.0
rep1,pos17,y,30.0,0.0,0.0
rep1,pos17,y,35.0,0.0,0.0
rep1,pos17,y,40.0,0.0,0.0
rep1,pos17,y,45.0,0.0,0.0
rep1,pos18,x,0.0,0.0,0.0
rep1,pos18,x,5.0,0.0,0.0
rep1,pos18,x,10.0,0.0,0.0
rep1,pos18,x,15.0,0.0,0.0
rep1,pos18,x,20.0,0.0,0.0
rep1,pos18,x,25.0,0.0,0.0
rep1,pos18,x,30.0,0.0,0.0
rep1,pos18,x,35.0,0.0,0.0
rep1,pos18,x,40.0,0.0,0.0
rep1,pos18,x,45.0,0.0,0.0
rep1,pos18,y,0.0,0.0,0.0
rep1,pos18,y,5.0,0.0,0.0
rep1,pos18,y,10.0,0.0,0.0
rep1,pos18,y,15.0,0.0,0.0
rep1,pos18,y,20.0,0.0,0.0
rep1,pos18,y,25.0,0.0,0.0
rep1,pos18,y,30.0,0.0,0.0
rep1,pos18,y,35.0,0.0,0.0
rep1,pos18,y,40.0,0.0,0.0
rep1,pos18,y,45.0,0.0,0.0
rep1,pos19,x,0.0,0.0,0.0
rep1,pos19,x,5.0,0.0,0.0
rep1,pos19,x,10.0,0.0,0.0
rep1,pos19,x,15.0,0.0,0.0
rep1,pos19,x,20.0,0.0,0.0
rep1,pos19,x,25.0,0.0,0.0
rep1,pos19,x,30.0,0.0,0.0
rep1,pos19,x,35.0,0.0,0.0
rep1,pos19,x,40.0,0.0,0.0
rep1,pos19,x,45.0,0.0,0.0
rep1,pos19,y,0.0,0.0,0.0
rep1,pos19,y,5.0,0.0,0.0
rep1,pos19,y,10.0,0.0,0.0
