replicate,axis,bin_left,regrowth_fraction
rep1,x,0.0,0.0
rep1,x,5.0,0.0
rep1,x,10.0,0.0
rep1,x,15.0,0.0
rep1,x,20.0,0.0
rep1,x,25.0,0.0
rep1,x,30.0,0.0
rep1,x,35.0,0.0
rep1,x,40.0,0.0
rep1,x,45.0,0.0
rep1,y,0.0,0.0
rep1,y,5.0,0.0
rep1,y,10.0,0.0
rep1,y,15.0,0.0
rep1,y,20.0,0.0
rep1,y,25.0,0.0
rep1,y,30.0,0.0
rep1,y,35.0,0.0
rep1,y,40.0,0.0
rep1,y,45.0,0.0
rep2,x,0.0,0.0
rep2,x,5.0,0.0006959248108183345
rep2,x,10.0,0.001391849621636669
rep2,x,15.0,0.0
rep2,x,20.0,0.0006959248108183345
rep2,x,25.0,0.0
rep2,x,30.0,0.0
rep2,x,35.0,0.0
rep2,x,40.0,0.0
rep2,x,45.0,0.0
rep2,y,0.0,0.0
rep2,y,5.0,0.0
rep2,y,10.0,0.0006959248108183345
rep2,y,15.0,0.0006959248108183345
rep2,y,20.0,0.0006959248108183345
rep2,y,25.0,0.0
rep2,y,30.0,0.0006959248108183345
rep2,y,35.0,0.0
rep2,y,40.0,0.0
rep2,y,45.0,0.0
rep3,x,0.0,0.0
rep3,x,5.0,0.0
rep3,x,10.0,0.0
rep3,x,15.0,0.0
rep3,x,20.0,0.0
rep3,x,25.0,0.0
rep3,x,30.0,0.0
rep3,x,35.0,0.0
rep3,x,40.0,0.0
rep3,x,45.0,0.0
rep3,y,0.0,0.0
rep3,y,5.0,0.0
rep3,y,10.0,0.0
rep3,y,15.0,0.0
rep3,y,20.0,0.0
rep3,y,25.0,0.0
rep3,y,30.0,0.0
rep3,y,35.0,0.0
rep3,y,40.0,0.0
rep3,y,45.0,0.0
