replicate,position,axis,bin_left,colony_count,regrowth_fraction
rep1,pos26,x,0.0,0.0,0.0
rep1,pos26,x,5.0,0.0,0.0
rep1,pos26,x,10.0,0.0,0.0
rep1,pos26,x,15.0,0.0,0.0
rep1,pos26,x,20.0,0.0,0.0
rep1,pos26,x,25.0,0.0,0.0
rep1,pos26,x,30.0,0.0,0.0
rep1,pos26,x,35.0,0.0,0.0
rep1,pos26,x,40.0,0.0,0.0
rep1,pos26,x,45.0,0.0,0.0
rep1,pos26,y,0.0,0.0,0.0
rep1,pos26,y,5.0,0.0,0.0
rep1,pos26,y,10.0,0.0,0.0
rep1,pos26,y,15.0,0.0,0.0
rep1,pos26,y,20.0,0.0,0.0
rep1,pos26,y,25.0,0.0,0.0
rep1,pos26,y,30.0,0.0,0.0
rep1,pos26,y,35.0,0.0,0.0
rep1,pos26,y,40.0,0.0,0.0
rep1,pos26,y,45.0,0.0,0.0
rep1,pos25,x,0.0,0.0,0.0
rep1,pos25,x,5.0,0.0,0.0
rep1,pos25,x,10.0,0.0,0.0
rep1,pos25,x,15.0,0.0,0.0
rep1,pos25,x,20.0,0.0,0.0
rep1,pos25,x,25.0,0.0,0.0
rep1,pos25,x,30.0,0.0,0.0
rep1,pos25,x,35.0,0.0,0.0
rep1,pos25,x,40.0,0.0,0.0
rep1,pos25,x,45.0,0.0,0.0
rep1,pos25,y,0.0,0.0,0.0
rep1,pos25,y,5.0,0.0,0.0
rep1,pos25,y,10.0,0.0,0.0
rep1,pos25,y,15.0,0.0,0.0
rep1,pos25,y,20.0,0.0,0.0
rep1,pos25,y,25.0,0.0,0.0
rep1,pos25,y,30.0,0.0,0.0
rep1,pos25,y,35.0,0.0,0.0
rep1,pos25,y,40.0,0.0,0.0
rep1,pos25,y,45.0,0.0,0.0
rep1,pos27,x,0.0,0.0,0.0
rep1,pos27,x,5.0,0.0,0.0
rep1,pos27,x,10.0,0.0,0.0
rep1,pos27,x,15.0,0.0,0.0
rep1,pos27,x,20.0,0.0,0.0
rep1,pos27,x,25.0,0.0,0.0
rep1,pos27,x,30.0,0.0,0.0
rep1,pos27,x,35.0,0.0,0.0
rep1,pos27,x,40.0,0.0,0.0
rep1,pos27,x,45.0,0.0,0.0
rep1,pos27,y,0.0,0.0,0.0
rep1,pos27,y,5.0,0.0,0.0
rep1,pos27,y,10.0,0.0,0.0
rep1,pos27,y,15.0,0.0,0.0
rep1,pos27,y,20.0,0.0,0.0
rep1,pos27,y,25.0,0.0,0.0
rep1,pos27,y,30.0,0.0,0.0
rep1,pos27,y,35.0,0.0,0.0
rep1,pos27,y,40.0,0.0,0.0
rep1,pos27,y,45.0,0.0,0.0
rep1,pos28,x,0.0,0.0,0.0
rep1,pos28,x,5.0,0.0,0.0
rep1,pos28,x,10.0,0.0,0.0
rep1,pos28,x,15.0,0.0,0.0
rep1,pos28,x,20.0,0.0,0.0
rep1,pos28,x,25.0,0.0,0.0
rep1,pos28,x,30.0,0.0,0.0
rep1,pos28,x,35.0,0.0,0.0
rep1,pos28,x,40.0,0.0,0.0
rep1,pos28,x,45.0,0.0,0.0
rep1,pos28,y,0.0,0.0,0.0
rep1,pos28,y,5.0,0.0,0.0
rep1,pos28,y,10.0,0.0,0.0
rep1,pos28,y,15.0,0.0,0.0
rep1,pos28,y,20.0,0.0,0.0
rep1,pos28,y,25.0,0.0,0.0
rep1,pos28,y,30.0,0.0,0.0
rep1,pos28,y,35.0,0.0,0.0
rep1,pos28,y,40.0,0.0,0.0
rep1,pos28,y,45.0,0.0,0.0
rep1,pos29,x,0.0,0.0,0.0
rep1,pos29,x,5.0,0.0,0.0
rep1,pos29,x,10.0,0.0,0.0
rep1,pos29,x,15.0,0.0,0.0
rep1,pos29,x,20.0,0.0,0.0
rep1,pos29,x,25.0,0.0,0.0
rep1,pos29,x,30.0,0.0,0.0
rep1,pos29,x,35.0,0.0,0.0
rep1,pos29,x,40.0,0.0,0.0
rep1,pos29,x,45.0,0.0,0.0
rep1,pos29,y,0.0,0.0,0.0
rep1,pos29,y,5.0,0.0,0.0
rep1,pos29,y,10.0,0.0,0.0
rep1,pos29,y,15.0,0.0,0.0
rep1,pos29,y,20.0,0.0,0.0
rep1,pos29,y,25.0,0.0,0.0
rep1,pos29,y,30.0,0.0,0.0
rep1,pos29,y,35.0,0.0,0.0
rep1,pos29,y,40.0,0.0,0.0
rep1,pos29,y,45.0,0.0,0.0
rep1,pos30,x,0.0,0.0,0.0
rep1,pos30,x,5.0,0.0,0.0
rep1,pos30,x,10.0,0.0,0.0
rep1,pos30,x,15.0,0.0,0.0
rep1,pos30,x,20.0,0.0,0.0
rep1,pos30,x,25.0,0.0,0.0
rep1,pos30,x,30.0,0.0,0.0
rep1,pos30,x,35.0,0.0,0.0
rep1,pos30,x,40.0,0.0,0.0
rep1,pos30,x,45.0,0.0,0.0
rep1,pos30,y,0.0,0.0,0.0
rep1,pos30,y,5.0,0.0,0.0
rep1,pos30,y,10.0,0.0,0.0
rep1,pos30,y,15.0,0.0,0.0
rep1,pos30,y,20.0,0.0,0.0
rep1,pos30,y,25.0,0.0,0.0
rep1,pos30,y,30.0,0.0,0.0
rep1,pos30,y,35.0,0.0,0.0
rep1,pos30,y,40.0,0.0,0.0
rep1,pos30,y,45.0,0.0,0.0
rep1,pos31,x,0.0,0.0,0.0
rep1,pos31,x,5.0,0.0,0.0
rep1,pos31,x,10.0,0.0,0.0
rep1,pos31,x,15.0,0.0,0.0
rep1,pos31,x,20.0,0.0,0.0
rep1,pos31,x,25.0,0.0,0.0
rep1,pos31,x,30.0,0.0,0.0
rep1,pos31,x,35.0,0.0,0.0
rep1,pos31,x,40.0,0.0,0.0
rep1,pos31,x,45.0,0.0,0.0
rep1,pos31,y,0.0,0.0,0.0
rep1,pos31,y,5.0,0.0,0.0
rep1,pos31,y,10.0,0.0,0.0
rep1,pos31,y,15.0,0.0,0.0
rep1,pos31,y,20.0,0.0,0.0
rep1,pos31,y,25.0,0.0,0.0
rep1,pos31,y,30.0,0.0,0.0
rep1,pos31,y,35.0,0.0,0.0
rep1,pos31,y,40.0,0.0,0.0
rep1,pos31,y,45.0,0.0,0.0
rep1,pos32,x,0.0,0.0,0.0
rep1,pos32,x,5.0,0.0,0.0
rep1,pos32,x,10.0,0.0,0.0
rep1,pos32,x,15.0,0.0,0.0
rep1,pos32,x,20.0,0.0,0.0
rep1,pos32,x,25.0,0.0,0.0
rep1,pos32,x,30.0,0.0,0.0
rep1,pos32,x,35.0,0.0,0.0
rep1,pos32,x,40.0,0.0,0.0
rep1,pos32,x,45.0,0.0,0.0
rep1,pos32,y,0.0,0.0,0.0
rep1,pos32,y,5.0,0.0,0.0
rep1,pos32,y,10.0,0.0,0.0
rep1,pos32,y,15.0,0.0,0.0
rep1,pos32,y,20.0,0.0,0.0
rep1,pos32,y,25.0,0.0,0.0
rep1,pos32,y,30.0,0.0,0.0
rep1,pos32,y,35.0,0.0,0.0
rep1,pos32,y,40.0,0.0,0.0
rep1,pos32,y,45.0,0.0,0.0
rep1,pos33,x,0.0,0.0,0.0
rep1,pos33,x,5.0,0.0,0.0
rep1,pos33,x,10.0,0.0,0.0
rep1,pos33,x,15.0,0.0,0.0
rep1,pos33,x,20.0,0.0,0.0
rep1,pos33,x,25.0,0.0,0.0
rep1,pos33,x,30.0,0.0,0.0
rep1,pos33,x,35.0,0.0,0.0
rep1,pos33,x,40.0,0.0,0.0
rep1,pos33,x,45.0,0.0,0.0
rep1,pos33,y,0.0,0.0,0.0
rep1,pos33,y,5.0,0.0,0.0
rep1,pos33,y,10.0,0.0,0.0
rep1,pos33,y,15.0,0.0,0.0
rep1,pos33,y,20.0,0.0,0.0
rep1,pos33,y,25.0,0.0,0.0
rep1,pos33,y,30.0,0.0,0.0
rep1,pos33,y,35.0,0.0,0.0
rep1,pos33,y,40.0,0.0,0.0
rep1,pos33,y,45.0,0.0,0.0
rep1,pos34,x,0.0,0.0,0.0
rep1,pos34,x,5.0,0.0,0.0
rep1,pos34,x,10.0,0.0,0.0
rep1,pos34,x,15.0,0.0,0.0
rep1,pos34,x,20.0,0.0,0.0
rep1,pos34,x,25.0,0.0,0.0
rep1,pos34,x,30.0,0.0,0.0
rep1,pos34,x,35.0,0.0,0.0
rep1,pos34,x,40.0,0.0,0.0
rep1,pos34,x,45.0,0.0,0.0
rep1,pos34,y,0.0,0.0,0.0
rep1,pos34,y,5.0,0.0,0.0
rep1,pos34,y,10.0,0.0,0.0
rep1,pos34,y,15.0,0.0,0.0
rep1,pos34,y,20.0,0.0,0.0
rep1,pos34,y,25.0,0.0,0.0
rep1,pos34,y,30.0,0.0,0.0
rep1,pos34,y,35.0,0.0,0.0
rep1,pos34,y,40.0,0.0,0.0
rep1,pos34,y,45.0,0.0,0.0
rep2,pos0,x,0.0,0.0,0.0
rep2,pos0,x,5.0,0.0,0.0
rep2,pos0,x,10.0,0.0,0.0
rep2,pos0,x,15.0,0.0,0.0
rep2,pos0,x,20.0,0.0,0.0
rep2,pos0,x,25.0,0.0,0.0
rep2,pos0,x,30.0,0.0,0.0
rep2,pos0,x,35.0,0.0,0.0
rep2,pos0,x,40.0,0.0,0.0
rep2,pos0,x,45.0,0.0,0.0
rep2,pos0,y,0.0,0.0,0.0
rep2,pos0,y,5.0,0.0,0.0
rep2,pos0,y,10.0,0.0,0.0
rep2,pos0,y,15.0,0.0,0.0
rep2,pos0,y,20.0,0.0,0.0
