colony_id,x,y,frame,position,replicate
1,747.6027397260274,152.0,11,pos10,replicate1
3,119.2280701754386,169.01754385964912,16,pos10,replicate1
10,440.6545454545454,25.70909090909091,20,pos10,replicate1
20,205.3793103448276,54.206896551724135,23,pos10,replicate1
21,390.76056338028167,73.0774647887324,23,pos10,replicate1
49,47.70967741935484,168.67741935483872,25,pos10,replicate1
62,470.97777777777776,92.13333333333334,26,pos10,replicate1
63,422.5757575757576,99.42424242424242,26,pos10,replicate1
67,651.0,161.0,26,pos10,replicate1
80,196.41176470588235,277.3235294117647,26,pos10,replicate1
86,115.03047091412742,156.07202216066483,27,pos10,replicate1
90,542.2,182.3,27,pos10,replicate1
95,361.24,209.72,27,pos10,replicate1
109,82.29824561403508,190.6140350877193,28,pos10,replicate1
110,478.84375,215.890625,28,pos10,replicate1
116,617.2409638554217,341.04819277108436,28,pos10,replicate1
119,648.3414634146342,56.4390243902439,29,pos10,replicate1
120,11.819277108433734,78.92771084337349,29,pos10,replicate1
126,413.8690476190476,234.07142857142856,29,pos10,replicate1
137,272.6470588235294,53.5,30,pos10,replicate1
138,453.7567567567568,123.4054054054054,30,pos10,replicate1
139,203.07692307692307,155.64102564102564,30,pos10,replicate1
153,683.6071428571429,22.392857142857142,31,pos10,replicate1
155,433.04761904761904,213.92857142857144,31,pos10,replicate1
161,741.0409356725146,289.0,31,pos10,replicate1
165,477.4634146341463,177.08536585365854,32,pos10,replicate1
170,28.071428571428573,350.4155844155844,32,pos10,replicate1
172,168.85714285714286,84.10714285714286,33,pos10,replicate1
203,376.1864406779661,313.35593220338984,35,pos10,replicate1
245,510.0681818181818,402.95454545454544,38,pos10,replicate1
278,12.715151515151517,185.65454545454543,41,pos10,replicate1
284,90.97560975609755,202.97560975609755,42,pos10,replicate1
305,413.5038167938931,203.65648854961833,44,pos10,replicate1
331,648.7478632478633,65.05982905982906,47,pos10,replicate1
335,523.7560975609756,131.0487804878049,47,pos10,replicate1
365,163.359375,36.828125,53,pos10,replicate1
921,748.3142857142857,280.5,15,pos11,replicate1
939,671.5454545454545,217.8181818181818,25,pos11,replicate1
940,88.98181818181818,224.21818181818185,25,pos11,replicate1
954,619.62,323.92,28,pos11,replicate1
959,43.11538461538461,210.6,29,pos11,replicate1
962,75.66197183098592,302.3380281690141,29,pos11,replicate1
968,641.1875,277.0,30,pos11,replicate1
977,530.1875,398.6484375,31,pos11,replicate1
980,248.7782258064516,145.08467741935485,32,pos11,replicate1
999,673.542372881356,157.4406779661017,35,pos11,replicate1
1001,277.02272727272725,181.77272727272728,35,pos11,replicate1
1005,283.90140845070425,324.90140845070425,36,pos11,replicate1
1013,332.7543859649123,265.6666666666667,37,pos11,replicate1
1022,458.01,289.14,39,pos11,replicate1
1032,114.2013422818792,100.744966442953,41,pos11,replicate1
1038,263.5888888888889,281.5888888888889,42,pos11,replicate1
1062,560.9285714285714,135.0952380952381,48,pos11,replicate1
1068,277.1296296296296,274.27777777777777,49,pos11,replicate1
1074,604.9354838709677,140.1451612903226,50,pos11,replicate1
1078,633.2222222222222,138.38888888888889,51,pos11,replicate1
1123,264.63157894736844,368.3333333333333,56,pos11,replicate1
1173,346.5192307692308,203.07692307692307,65,pos11,replicate1
1239,465.5111111111111,170.22222222222223,74,pos11,replicate1
1296,751.0862068965517,147.0,82,pos11,replicate1
1452,14.140625,162.9375,106,pos11,replicate1
1802,402.02272727272725,30.068181818181817,20,pos12,replicate1
1804,518.6463414634146,38.829268292682926,23,pos12,replicate1
1806,624.5,188.0,23,pos12,replicate1
1808,521.0,141.28571428571428,24,pos12,replicate1
1809,437.02645502645504,176.5026455026455,24,pos12,replicate1
1815,248.625,156.34375,26,pos12,replicate1
1817,435.975352112676,220.39084507042253,26,pos12,replicate1
1824,613.1842105263158,227.23684210526315,27,pos12,replicate1
1829,55.73529411764706,173.08823529411765,28,pos12,replicate1
1840,397.41818181818184,248.0909090909091,30,pos12,replicate1
1853,134.6764705882353,282.0882352941176,32,pos12,replicate1
1860,258.35632183908046,210.33333333333337,33,pos12,replicate1
1867,498.9382716049383,192.1851851851852,34,pos12,replicate1
1868,120.56521739130434,202.04347826086956,34,pos12,replicate1
1885,343.30555555555554,342.9166666666667,35,pos12,replicate1
1908,686.4909090909091,206.85454545454544,38,pos12,replicate1
1936,182.74074074074073,345.05555555555554,40,pos12,replicate1
2033,686.5510204081633,140.85714285714286,52,pos12,replicate1
2073,741.7543859649123,308.89473684210526,58,pos12,replicate1
2118,140.58490566037736,88.9622641509434,64,pos12,replicate1
2121,392.7083333333333,490.5208333333333,64,pos12,replicate1
2200,290.0769230769231,128.39743589743588,77,pos12,replicate1
2680,745.1428571428571,111.07142857142856,23,pos13,replicate1
2685,632.2058823529412,186.35294117647055,24,pos13,replicate1
2686,668.2162162162163,223.0810810810811,24,pos13,replicate1
2691,569.2987012987013,224.9935064935065,25,pos13,replicate1
2705,407.9848484848485,196.7121212121212,28,pos13,replicate1
2709,688.2142857142857,278.0357142857143,28,pos13,replicate1
2710,587.3061224489796,284.55102040816325,28,pos13,replicate1
2723,361.6616541353383,236.69924812030075,30,pos13,replicate1
2733,73.125,251.6625,31,pos13,replicate1
2736,58.56521739130435,328.0,31,pos13,replicate1
2737,640.7190082644628,337.46280991735534,31,pos13,replicate1
2739,609.6274509803922,127.58823529411764,32,pos13,replicate1
2748,676.4152046783626,146.4093567251462,33,pos13,replicate1
2753,369.6623376623377,130.05194805194805,34,pos13,replicate1
2755,212.72727272727272,215.66666666666663,34,pos13,replicate1
2757,219.70967741935485,285.1161290322581,34,pos13,replicate1
2761,354.6885245901639,196.39344262295083,35,pos13,replicate1
2769,436.57894736842104,278.82456140350877,36,pos13,replicate1
2797,244.47008547008548,184.78347578347575,43,pos13,replicate1
2805,746.8181818181819,181.0,44,pos13,replicate1
2829,306.688679245283,137.3820754716981,48,pos13,replicate1
2836,575.1395348837209,63.74418604651163,50,pos13,replicate1
2885,151.68493150684932,133.97260273972603,57,pos13,replicate1
2896,507.7894736842105,181.43859649122808,59,pos13,replicate1
2927,451.258064516129,81.43548387096774,64,pos13,replicate1
