axis,bin_left,mean_regrowth_fraction,std_regrowth_fraction,n_replicates
x,0,0.028140763692427434,0.01545310971204154,2
x,5,0.01799961081922553,0.0021697859527181613,2
x,10,0.01713892256799437,0.006244749815140075,2
x,15,0.016353076773392008,0.001217196997866287,2
x,20,0.018149295732483122,0.007673633247417889,2
x,25,0.019571302408430254,0.0019580995183066346,2
x,30,0.019047405212028676,0.002593158821541218,2
x,35,0.016839552741479184,0.0047629447742593796,2
x,40,0.022228209618752524,0.006668122683963134,2
x,45,0.02084362417111979,0.01148398906682539,2
y,0,0.011188947266005058,0.00534508246889108,2
y,5,0.035961800410136656,0.005345082468891083,2
y,10,0.05740416423428682,0.0087849870280784,2
y,15,0.040414926579550044,0.00952588954851876,2
y,20,0.027729130180969057,0.016987836361525118,2
y,25,0.01612854940350562,0.014341755931381022,2
y,30,0.004453126169413385,0.004180807079627678,2
y,35,0.0023575373838070858,0.0033340613419815656,2
y,40,0.0006735821096591674,0.0009525889548518759,2
y,45,0.0,0.0,2
