replicate,axis,bin_left,regrowth_fraction
rep1,x,0,0.017213765024623167
rep1,x,5,0.016465340458335205
rep1,x,10,0.012723217626895385
rep1,x,15,0.017213765024623167
rep1,x,20,0.012723217626895385
rep1,x,25,0.020955887856062987
rep1,x,30,0.017213765024623167
rep1,x,35,0.013471642193183348
rep1,x,40,0.026943284386366697
rep1,x,45,0.012723217626895385
rep1,y,0,0.014968491325759274
rep1,y,5,0.03218225635038244
rep1,y,10,0.06361608813447692
rep1,y,15,0.03367910548295837
rep1,y,20,0.01571691589204724
rep1,y,25,0.0059873965303037105
rep1,y,30,0.0014968491325759276
rep1,y,35,0.0
rep1,y,40,0.0
rep1,y,45,0.0
rep2,x,0,0.039067762360231705
rep2,x,5,0.019533881180115856
rep2,x,10,0.021554627509093358
rep2,x,15,0.015492388522160849
rep2,x,20,0.02357537383807086
rep2,x,25,0.01818671696079752
rep2,x,30,0.020881045399434188
rep2,x,35,0.020207463289775022
rep2,x,40,0.01751313485113835
rep2,x,45,0.028964030715344195
rep2,y,0,0.007409403206250842
rep2,y,5,0.039741344469890874
rep2,y,10,0.05119224033409673
rep2,y,15,0.04715074767614172
rep2,y,20,0.039741344469890874
rep2,y,25,0.02626970227670753
rep2,y,30,0.007409403206250842
rep2,y,35,0.0047150747676141715
rep2,y,40,0.0013471642193183348
rep2,y,45,0.0
