target,partner,timepoint,checkerboard,colonies,dilution,volume,cfu,survival,cfu_substract,survival_substract
S. aureus,P. aeruginosa wt,0,mixed,14,0.0001,4,35000.0,1.0,,
S. aureus,P. aeruginosa ∆∆rhlApqsL,0,mixed,14,0.0001,4,35000.0,1.0,,
S. aureus,P. aeruginosa pqsL+,0,mixed,15,0.0001,4,37500.0,1.0,,
S. aureus,P. aeruginosa rhlAB+,0,mixed,17,0.0001,4,42500.0,1.0,,
S. aureus,P. aeruginosa wt,0,small,13,0.0001,4,32500.0,1.0,,
S. aureus,P. aeruginosa ∆∆rhlApqsL,0,small,18,0.0001,4,45000.0,1.0,,
S. aureus,P. aeruginosa pqsL+,0,small,14,0.0001,4,35000.0,1.0,,
S. aureus,P. aeruginosa rhlAB+,0,small,21,0.0001,4,52500.0,1.0,,
S. aureus,P. aeruginosa wt,0,medium,19,0.0001,4,47500.0,1.0,,
S. aureus,P. aeruginosa ∆∆rhlApqsL,0,medium,17,0.0001,4,42500.0,1.0,,
S. aureus,P. aeruginosa pqsL+,0,medium,17,0.0001,4,42500.0,1.0,,
S. aureus,P. aeruginosa rhlAB+,0,medium,18,0.0001,4,45000.0,1.0,,
S. aureus,P. aeruginosa wt,0,big,16,0.0001,4,40000.0,1.0,,
S. aureus,P. aeruginosa ∆∆rhlApqsL,0,big,11,0.0001,4,27500.0,1.0,,
S. aureus,P. aeruginosa pqsL+,0,big,16,0.0001,4,40000.0,1.0,,
S. aureus,P. aeruginosa rhlAB+,0,big,17,0.0001,4,42500.0,1.0,,
S. aureus,P. aeruginosa wt,1,mixed,32,0.1,100,3.2,9.142857142857143e-05,2.47,7.057142857142858e-05
S. aureus,P. aeruginosa ∆∆rhlApqsL,1,mixed,73,1.0,100,0.73,2.0857142857142857e-05,0.0,0.0
S. aureus,P. aeruginosa pqsL+,1,mixed,232,0.1,100,23.2,0.0006186666666666667,22.47,0.0005991999999999999
S. aureus,P. aeruginosa rhlAB+,1,mixed,14,1.0,100,0.14,3.294117647058824e-06,-0.59,-1.388235294117647e-05
S. aureus,P. aeruginosa wt,1,small,82,0.001,100,820.0,0.02523076923076923,380.0,0.011692307692307693
S. aureus,P. aeruginosa ∆∆rhlApqsL,1,small,44,0.001,100,440.0,0.009777777777777778,0.0,0.0
S. aureus,P. aeruginosa pqsL+,1,small,93,0.001,100,930.0,0.026571428571428572,490.0,0.014
S. aureus,P. aeruginosa rhlAB+,1,small,50,0.001,100,500.0,0.009523809523809525,60.0,0.001142857142857143
S. aureus,P. aeruginosa wt,1,medium,88,0.001,100,880.0,0.018526315789473686,-20.0,-0.0004210526315789474
S. aureus,P. aeruginosa ∆∆rhlApqsL,1,medium,90,0.001,100,900.0,0.021176470588235293,0.0,0.0
S. aureus,P. aeruginosa pqsL+,1,medium,80,0.001,100,800.0,0.018823529411764704,-100.0,-0.002352941176470588
S. aureus,P. aeruginosa rhlAB+,1,medium,65,0.001,100,650.0,0.014444444444444444,-250.0,-0.005555555555555556
S. aureus,P. aeruginosa wt,1,big,37,0.1,100,3.7,9.25e-05,0.30000000000000027,7.500000000000007e-06
S. aureus,P. aeruginosa ∆∆rhlApqsL,1,big,34,0.1,100,3.4,0.00012363636363636364,0.0,0.0
S. aureus,P. aeruginosa pqsL+,1,big,65,0.1,100,6.5,0.0001625,3.1,7.75e-05
S. aureus,P. aeruginosa rhlAB+,1,big,52,0.1,100,5.2,0.0001223529411764706,1.8000000000000003,4.235294117647059e-05
P. aeruginosa wt,S. aureus,0,mixed,24,0.001,4,6000.0,1.0,,
P. aeruginosa ∆∆rhlApqsL,S. aureus,0,mixed,15,0.001,4,3750.0,1.0,,
P. aeruginosa pqsL+,S. aureus,0,mixed,11,0.001,4,2750.0,1.0,,
P. aeruginosa rhlAB+,S. aureus,0,mixed,14,0.001,4,3500.0,1.0,,
P. aeruginosa wt,S. aureus,0,small,22,0.001,4,5500.0,1.0,,
P. aeruginosa ∆∆rhlApqsL,S. aureus,0,small,18,0.001,4,4500.0,1.0,,
P. aeruginosa pqsL+,S. aureus,0,small,21,0.001,4,5250.0,1.0,,
P. aeruginosa rhlAB+,S. aureus,0,small,14,0.001,4,3500.0,1.0,,
P. aeruginosa wt,S. aureus,0,medium,33,0.001,4,8250.0,1.0,,
P. aeruginosa ∆∆rhlApqsL,S. aureus,0,medium,26,0.001,4,6500.0,1.0,,
P. aeruginosa pqsL+,S. aureus,0,medium,22,0.001,4,5500.0,1.0,,
P. aeruginosa rhlAB+,S. aureus,0,medium,18,0.001,4,4500.0,1.0,,
P. aeruginosa wt,S. aureus,0,big,12,0.001,4,3000.0,1.0,,
P. aeruginosa ∆∆rhlApqsL,S. aureus,0,big,25,0.001,4,6250.0,1.0,,
P. aeruginosa pqsL+,S. aureus,0,big,16,0.001,4,4000.0,1.0,,
P. aeruginosa rhlAB+,S. aureus,0,big,16,0.001,4,4000.0,1.0,,
