Target,Donor,Supernatant,Antibiotics,Timepoint,Replicates,Colonies,Dilution,CFU,Survival
SVS002,SVS002,1mM cumate,Tobramycin (58µg/ml),0h,1,54,1e-05,1080000000.0,1.0
SVS002,SVS002,1mM cumate,Tobramycin (58µg/ml),0h,2,43,1e-05,860000000.0,1.0
SVS002,SVS002,1mM cumate,Tobramycin (58µg/ml),0h,3,41,1e-05,819999999.9999999,1.0
SVS002,SVS002,1mM cumate,Tobramycin (58µg/ml),1h,1,4,0.1,8000.0,7.4074074074074075e-06
SVS002,SVS002,1mM cumate,Tobramycin (58µg/ml),1h,2,9,0.1,18000.0,2.0930232558139536e-05
SVS002,SVS002,1mM cumate,Tobramycin (58µg/ml),1h,3,7,0.1,14000.0,1.707317073170732e-05
SVS002,SVS002,1mM cumate,Tobramycin (58µg/ml),4h,1,1,1.0,200.0,1.8518518518518518e-07
SVS002,SVS002,1mM cumate,Tobramycin (58µg/ml),4h,2,1,1.0,200.0,2.3255813953488372e-07
SVS002,SVS002,1mM cumate,Tobramycin (58µg/ml),4h,3,1,1.0,200.0,2.439024390243903e-07
SVS002,SVS002,1mM cumate,Tobramycin (58µg/ml),8h,1,1,1.0,200.0,1.8518518518518518e-07
SVS002,SVS002,1mM cumate,Tobramycin (58µg/ml),8h,2,1,1.0,200.0,2.3255813953488372e-07
SVS002,SVS002,1mM cumate,Tobramycin (58µg/ml),8h,3,1,1.0,200.0,2.439024390243903e-07
SVS002,SVS002,1mM cumate,Tobramycin (58µg/ml),24h,1,1,1.0,200.0,1.8518518518518518e-07
SVS002,SVS002,1mM cumate,Tobramycin (58µg/ml),24h,2,1,1.0,200.0,2.3255813953488372e-07
SVS002,SVS002,1mM cumate,Tobramycin (58µg/ml),24h,3,1,1.0,200.0,2.439024390243903e-07
SVS002,Tn dspI,1mM cumate,Tobramycin (58µg/ml),0h,1,27,1e-05,540000000.0,1.0
SVS002,Tn dspI,1mM cumate,Tobramycin (58µg/ml),0h,2,30,1e-05,599999999.9999999,1.0
SVS002,Tn dspI,1mM cumate,Tobramycin (58µg/ml),0h,3,36,1e-05,719999999.9999999,1.0
SVS002,Tn dspI,1mM cumate,Tobramycin (58µg/ml),1h,1,36,1e-05,719999999.9999999,1.333333333333333
SVS002,Tn dspI,1mM cumate,Tobramycin (58µg/ml),1h,2,28,1e-05,560000000.0,0.9333333333333336
SVS002,Tn dspI,1mM cumate,Tobramycin (58µg/ml),1h,3,42,1e-05,840000000.0,1.166666666666667
SVS002,Tn dspI,1mM cumate,Tobramycin (58µg/ml),4h,1,4,1e-05,79999999.99999999,0.1481481481481481
SVS002,Tn dspI,1mM cumate,Tobramycin (58µg/ml),4h,2,8,1e-05,159999999.99999997,0.26666666666666666
SVS002,Tn dspI,1mM cumate,Tobramycin (58µg/ml),4h,3,7,1e-05,140000000.0,0.19444444444444448
SVS002,Tn dspI,1mM cumate,Tobramycin (58µg/ml),8h,1,15,0.0001,30000000.0,0.05555555555555555
SVS002,Tn dspI,1mM cumate,Tobramycin (58µg/ml),8h,2,21,0.0001,42000000.0,0.07000000000000002
SVS002,Tn dspI,1mM cumate,Tobramycin (58µg/ml),8h,3,18,0.0001,36000000.0,0.05000000000000001
SVS002,Tn dspI,1mM cumate,Tobramycin (58µg/ml),24h,1,1,1.0,200.0,3.7037037037037036e-07
SVS002,Tn dspI,1mM cumate,Tobramycin (58µg/ml),24h,2,1,1.0,200.0,3.333333333333334e-07
SVS002,Tn dspI,1mM cumate,Tobramycin (58µg/ml),24h,3,1,1.0,200.0,2.777777777777778e-07
SVS002,Tn lasA,1mM cumate,Tobramycin (58µg/ml),0h,1,53,1e-05,1060000000.0,1.0
SVS002,Tn lasA,1mM cumate,Tobramycin (58µg/ml),0h,2,50,1e-05,1000000000.0,1.0
SVS002,Tn lasA,1mM cumate,Tobramycin (58µg/ml),0h,3,34,1e-05,679999999.9999999,1.0
SVS002,Tn lasA,1mM cumate,Tobramycin (58µg/ml),1h,1,48,1e-05,960000000.0,0.9056603773584906
