strain,replicate,metric,intensity
svs002-svp005,rep1,median_mcherry,34956.0
svs002-svp005,rep1,median_mcherry,26842.0
svs002-svp005,rep1,median_mcherry,64577.0
svs002-svp005,rep1,median_mcherry,33572.0
svs002-svp005,rep1,median_mcherry,36743.0
svs002-svp005,rep1,median_mcherry,1289.0
svs002-svp005,rep1,median_mcherry,60917.0
svs002-svp005,rep1,median_mcherry,12764.0
svs002-svp005,rep1,median_mcherry,35686.0
svs002-svp005,rep1,median_mcherry,27128.0
svs002-svp005,rep1,median_mcherry,65664.0
svs002-svp005,rep1,median_mcherry,3664.0
svs002-svp005,rep1,median_mcherry,32380.0
svs002-svp005,rep1,median_mcherry,59704.0
svs002-svp005,rep1,median_mcherry,36885.0
svs002-svp005,rep1,median_mcherry,60569.0
svs002-svp005,rep1,median_mcherry,37864.0
svs002-svp005,rep1,median_mcherry,25584.0
svs002-svp005,rep1,median_mcherry,34593.0
svs002-svp005,rep1,median_mcherry,26356.0
svs002-svp005,rep1,median_mcherry,107745.0
svs002-svp005,rep1,median_mcherry,69065.0
svs002-svp005,rep1,median_mcherry,33131.0
svs002-svp005,rep1,median_mcherry,918.0
svs002-svp005,rep1,median_mcherry,23298.0
svs002-svp005,rep1,median_mcherry,23936.0
svs002-svp005,rep1,median_mcherry,35363.0
svs002-svp005,rep1,median_mcherry,40733.0
svs002-svp005,rep1,median_mcherry,2008.0
svs002-svp005,rep1,median_mcherry,15041.0
svs002-svp005,rep1,median_mcherry,20321.0
svs002-svp005,rep1,median_mcherry,772.0
svs002-svp005,rep1,median_mcherry,56367.0
svs002-svp005,rep1,median_mcherry,29813.0
svs002-svp005,rep1,median_mcherry,45604.0
svs002-svp005,rep1,median_mcherry,29761.0
svs002-svp005,rep1,median_mcherry,16800.0
svs002-svp005,rep1,median_mcherry,1341.0
svs002-svp005,rep1,median_mcherry,53432.0
svs002-svp005,rep1,median_mcherry,23352.0
svs002-svp005,rep1,median_mcherry,36144.0
svs002-svp005,rep1,median_mcherry,148168.0
svs002-svp005,rep1,median_mcherry,54073.0
svs002-svp005,rep1,median_mcherry,26345.0
svs002-svp005,rep1,median_mcherry,39991.0
svs002-svp005,rep1,median_mcherry,1285.0
svs002-svp005,rep1,median_mcherry,948.0
svs002-svp005,rep1,median_mcherry,99088.0
svs002-svp005,rep1,median_mcherry,52944.0
svs002-svp005,rep1,median_mcherry,92957.0
svs002-svp005,rep1,median_mcherry,767.0
svs002-svp005,rep1,median_mcherry,13229.0
svs002-svp005,rep1,median_mcherry,6532.0
svs002-svp005,rep1,median_mcherry,15124.0
svs002-svp005,rep1,median_mcherry,1463.0
svs002-svp005,rep1,median_mcherry,41793.0
svs002-svp005,rep1,median_mcherry,1093.0
svs002-svp005,rep1,median_mcherry,54348.0
svs002-svp005,rep1,median_mcherry,82437.0
svs002-svp005,rep1,median_mcherry,733.0
svs002-svp005,rep1,median_mcherry,1140.0
svs002-svp005,rep1,median_mcherry,33102.0
svs002-svp005,rep1,median_mcherry,1868.0
svs002-svp005,rep1,median_mcherry,19740.0
svs002-svp005,rep1,median_mcherry,104396.0
svs002-svp005,rep1,median_mcherry,43972.0
svs002-svp005,rep1,median_mcherry,18821.0
svs002-svp005,rep1,median_mcherry,23696.0
svs002-svp005,rep1,median_mcherry,57109.0
svs002-svp005,rep1,median_mcherry,53797.0
svs002-svp005,rep1,median_mcherry,1357.0
svs002-svp005,rep1,median_mcherry,22476.0
svs002-svp005,rep1,median_mcherry,1164.0
svs002-svp005,rep1,median_mcherry,32876.0
svs002-svp005,rep1,median_mcherry,25892.0
svs002-svp005,rep1,median_mcherry,15288.0
svs002-svp005,rep1,median_mcherry,1020.0
svs002-svp005,rep1,median_mcherry,138600.0
svs002-svp005,rep1,median_mcherry,27997.0
svs002-svp005,rep1,median_mcherry,39772.0
svs002-svp005,rep1,median_mcherry,17528.0
svs002-svp005,rep1,median_mcherry,1337.0
svs002-svp005,rep1,median_mcherry,52908.0
svs002-svp005,rep1,median_mcherry,104577.0
svs002-svp005,rep1,median_mcherry,14955.0
svs002-svp005,rep1,median_mcherry,32317.0
svs002-svp005,rep1,median_mcherry,48615.0
svs002-svp005,rep1,median_mcherry,110345.0
svs002-svp005,rep1,median_mcherry,1356.0
svs002-svp005,rep1,median_mcherry,104745.0
svs002-svp005,rep1,median_mcherry,1332.0
svs002-svp005,rep1,median_mcherry,1656.0
svs002-svp005,rep1,median_mcherry,31086.0
svs002-svp005,rep1,median_mcherry,956.0
svs002-svp005,rep1,median_mcherry,34676.0
svs002-svp005,rep1,median_mcherry,714.0
svs002-svp005,rep1,median_mcherry,18440.0
