condition,pos,raw_gfp_intensity,mcherry_raw_intensity,n_cells
control,pos32,307.1758819150477,317.9984826660687,584
control,pos45,318.57922122584586,327.36263789951175,324
control,pos46,317.8857551546133,324.3540689427321,365
control,pos47,325.1282532855219,324.90833811981537,435
control,pos48,321.15914387280674,323.07370480732527,392
control,pos49,321.4086876223946,327.8907290914282,390
control,pos50,327.1454502067444,325.95507395123315,621
control,pos51,330.0524774160602,336.3777004397867,579
control,pos54,349.6887362790236,350.97139845216367,525
pSEVA,pos0,595.1569944069611,681.1606589173409,593
pSEVA,pos1,608.5802265255855,636.4047235348684,572
pSEVA,pos2,590.6667692511978,575.8603435349429,571
pSEVA,pos3,586.7183627927111,601.4930238365235,554
pSEVA,pos4,586.0197522655527,734.2274817244055,642
pSEVA,pos5,577.4290922577233,732.2709539306499,620
pSEVA,pos6,603.4043142352909,653.4545811518237,617
pSEVA,pos7,593.8539748853577,626.8101499247126,593
pSEVA,pos8,572.5631270379469,574.1058578054309,527
pSEVA,pos9,551.4457977551185,463.29512657574156,444
