axis,bin_left,mean_regrowth_fraction,std_regrowth_fraction,n_replicates
x,0.0,0.001252664659473002,0.0,1
x,5.0,0.001252664659473002,0.0,1
x,10.0,0.0029228842054370044,0.0,1
x,15.0,0.005010658637892008,0.0,1
x,20.0,0.002087774432455003,0.0,1
x,25.0,0.0020877744324550034,0.0,1
x,30.0,0.004593103751401008,0.0,1
x,35.0,0.004175548864910007,0.0,1
x,40.0,0.0029228842054370044,0.0,1
x,45.0,0.007098433070347011,0.0,1
y,0.0,0.0,0.0,1
y,5.0,0.00041755488649100066,0.0,1
y,10.0,0.0016702195459640027,0.0,1
y,15.0,0.007515987956838012,0.0,1
y,20.0,0.00626332329736501,0.0,1
y,25.0,0.008351097729820013,0.0,1
y,30.0,0.006680878183856011,0.0,1
y,35.0,0.0016702195459640027,0.0,1
y,40.0,0.0008351097729820013,0.0,1
y,45.0,0.0,0.0,1
