replicate,axis,bin_left,regrowth_fraction
rep1,x,0.0,0.004384326308155507
rep1,x,5.0,0.0062633232973650105
rep1,x,10.0,0.008768652616311014
rep1,x,15.0,0.0062633232973650105
rep1,x,20.0,0.005636990967628508
rep1,x,25.0,0.005636990967628508
rep1,x,30.0,0.007515987956838012
rep1,x,35.0,0.0062633232973650105
rep1,x,40.0,0.007515987956838012
rep1,x,45.0,0.0031316616486825044
rep1,y,0.0,0.0
rep1,y,5.0,0.001252664659473002
rep1,y,10.0,0.004384326308155507
rep1,y,15.0,0.01941630222183153
rep1,y,20.0,0.023800628529987038
rep1,y,25.0,0.008142320286574512
rep1,y,30.0,0.0031316616486825053
rep1,y,35.0,0.000626332329736501
rep1,y,40.0,0.000626332329736501
rep1,y,45.0,0.0
