colony_id,x,y,frame,position,replicate
1856,291.3448275862069,296.7931034482759,81,pos3,replicate1
2065,321.5406504065041,363.5813008130081,86,pos3,replicate1
2193,172.50306748466258,345.0490797546012,88,pos3,replicate1
2258,601.3787878787879,297.6515151515151,89,pos3,replicate1
2628,630.6336633663366,465.63696369636966,93,pos3,replicate1
2725,566.6538461538462,471.15384615384613,94,pos3,replicate1
2794,732.1666666666666,397.6363636363636,95,pos3,replicate1
5371,416.7142857142857,404.7857142857143,93,pos4,replicate1
5481,101.37128712871286,311.9950495049505,95,pos4,replicate1
5965,41.361702127659576,314.6595744680851,101,pos4,replicate1
6057,379.1358024691358,298.48148148148147,102,pos4,replicate1
6292,52.08510638297872,320.0851063829787,105,pos4,replicate1
6654,354.88732394366195,346.5633802816901,112,pos4,replicate1
6710,292.609756097561,293.719512195122,114,pos4,replicate1
6783,110.77358490566036,301.33962264150944,116,pos4,replicate1
6828,658.919540229885,331.5402298850575,117,pos4,replicate1
7159,253.6969696969697,277.3636363636364,127,pos4,replicate1
7363,672.8983050847457,300.135593220339,133,pos4,replicate1
7626,142.33333333333334,300.4166666666667,141,pos4,replicate1
7683,168.52777777777777,255.16666666666663,143,pos4,replicate1
7730,370.65060240963857,278.7710843373494,144,pos4,replicate1
7798,521.8939393939394,309.59090909090907,146,pos4,replicate1
8142,741.6372549019608,341.72549019607845,158,pos4,replicate1
8283,269.2040816326531,304.7755102040816,163,pos4,replicate1
8412,614.6063829787234,327.6595744680851,168,pos4,replicate1
8435,119.02439024390245,310.0,169,pos4,replicate1
8550,645.7727272727273,258.64772727272725,174,pos4,replicate1
8910,190.5,283.32608695652175,77,pos5,replicate1
8911,330.77777777777777,285.1111111111111,77,pos5,replicate1
9068,400.68131868131866,358.14285714285717,80,pos5,replicate1
9165,132.48275862068965,324.62068965517244,82,pos5,replicate1
9213,403.0788381742738,332.72614107883817,83,pos5,replicate1
9294,68.75,335.3833333333333,84,pos5,replicate1
9315,228.38983050847455,405.6779661016949,84,pos5,replicate1
9439,520.2133333333334,359.94666666666666,86,pos5,replicate1
9745,183.61977186311788,464.8022813688213,89,pos5,replicate1
9746,290.63157894736844,454.3333333333333,89,pos5,replicate1
12166,78.29166666666667,283.0416666666667,130,pos5,replicate1
13155,121.1206896551724,253.98275862068965,159,pos5,replicate1
13296,321.3119266055046,269.29357798165137,163,pos5,replicate1
13609,190.0909090909091,226.68686868686868,174,pos5,replicate1
22783,19.838709677419356,163.4731182795699,139,pos8,replicate1
29301,62.09090909090909,287.84090909090907,174,pos9,replicate1
29867,609.4461538461538,695.9538461538461,46,pos10,replicate1
102,160.4538650843547,495.23227992530394,7,pos1,replicate1
103,270.4993463690529,261.574066238616,14,pos1,replicate1
104,638.3225988822907,229.91714696493568,22,pos1,replicate1
105,615.7105136868047,263.08153858498173,22,pos1,replicate1
106,691.0841310050911,323.38043243961084,31,pos1,replicate1
107,743.8456631278916,244.99187042859296,31,pos1,replicate1
108,651.8898499995821,359.5597687523883,31,pos1,replicate1
109,336.828129609145,315.84307070778226,31,pos1,replicate1
110,278.0367081008816,272.12637266317614,31,pos1,replicate1
111,119.75211173248007,327.9028494787081,31,pos1,replicate1
112,119.75211173248007,273.63384500954186,31,pos1,replicate1
113,32.318715643267836,214.8424235012785,31,pos1,replicate1
114,502.65008770937504,410.81382852882314,31,pos1,replicate1
115,528.2771175975925,386.69427098697145,31,pos1,replicate1
116,490.5903089384492,353.52987936692546,31,pos1,replicate1
117,519.232283519398,282.6786790877362,31,pos1,replicate1
118,445.36613854747736,285.69362378046765,50,pos1,replicate1
119,76.03541368787396,172.63319780303806,60,pos1,replicate1
1390,102.76055962780772,362.146401077214,15,pos2,replicate1
1391,154.38282343680584,343.92677855639107,15,pos2,replicate1
1392,189.30376660171635,322.67055228209773,15,pos2,replicate1
1393,287.99338858950694,333.2986654192444,15,pos2,replicate1
1394,385.1647087005623,333.2986654192444,15,pos2,replicate1
1395,385.1647087005623,214.8711190338957,15,pos2,replicate1
1396,612.9099902108483,349.999986063332,15,pos2,replicate1
1397,688.8250840476102,360.6280992004787,15,pos2,replicate1
1398,541.549802004292,293.8228166241281,15,pos2,replicate1
1399,278.8835773290955,453.2445136813283,23,pos2,replicate1
1400,189.30376660171635,442.61640054418166,23,pos2,replicate1
1401,658.4590465129054,199.68810026654327,41,pos2,replicate1
1402,549.1413113879681,195.13319463633755,41,pos2,replicate1
3953,163.50898933066972,184.29553846982552,37,pos3,replicate1
3954,645.1853996758396,297.45126661440514,37,pos3,replicate1
3955,694.1176064410631,363.20391945517434,37,pos3,replicate1
3956,496.8596479187555,543.6414319019364,37,pos3,replicate1
3957,588.6075356035498,618.5688735111851,37,pos3,replicate1
3958,227.7325107100257,502.35488244377893,37,pos3,replicate1
3959,512.1509625328879,381.5534969921332,76,pos3,replicate1
3960,556.4957749138717,298.98039807581836,76,pos3,replicate1
3961,480.03920184320987,259.22298007907415,76,pos3,replicate1
3962,535.0879344540865,231.69861377363588,76,pos3,replicate1
8551,368.90611479699646,446.409149149204,17,pos4,replicate1
8552,182.0878307370889,369.8442786328484,20,pos4,replicate1
8553,258.65270125344443,248.87178321700665,20,pos4,replicate1
